340_124368_000004_000000	MR.	mr
340_124368_000051_000002	We admit that it is more prominent, but we deny that we made it so.	We admit that it is more prominent, but we deny that we made it so.
340_124368_000052_000001	We deny it; and what is your proof'?	We deny it; and what is your proof'?
340_124368_000053_000001	We do not believe it.	We do not believe it.
340_124368_000053_000004	The elections came, and your expectations were not quite fulfilled.	The elections came, and your expectations were not quite fulfilled.
340_124368_000054_000003	The indispensable concert of action cannot be attained.	The indispensable concert of action cannot be attained.
340_124368_000054_000005	The explosive materials are everywhere in parcels; but there neither are, nor can be supplied the indispensable connecting trains.	The explosive materials are everywhere in parcels; but there neither are, nor can be supplied the indispensable connecting trains.
340_124368_000055_000002	This is the rule; and the slave revolution in Hayti was not an exception to it, but a case occurring under peculiar circumstances.	This is the rule; and the slave revolution in Hayti was not an exception to it, but a case occurring under peculiar circumstances.
340_124368_000055_000004	In that case, only about twenty were admitted to the secret; and yet one of them, in his anxiety to save a friend, betrayed the plot to that friend, and, by consequence, averted the calamity.	In that case, only about twenty were admitted to the secret; and yet one of them, in his anxiety to save a friend, betrayed the plot to that friend, and, by consequence, averted the calamity.
340_124368_000057_000001	He spoke of Virginia; and, as to the power of emancipation, I speak of the slave holding States only.	He spoke of Virginia; and, as to the power of emancipation, I speak of the slave holding States only.
340_124368_000058_000006	He ventures the attempt, which ends in little else than his own execution.	He ventures the attempt, which ends in little else than his own execution.
340_124368_000061_000001	But we are proposing no such thing.	But we are proposing no such thing.
340_124368_000067_000000	To show all this, is easy and certain.	To show all this, is easy and certain.
340_124368_000070_000001	In that supposed event, you say, you will destroy the Union; and then, you say, the great crime of having destroyed it will be upon us!	In that supposed event, you say, you will destroy the Union; and then, you say, the great crime of having destroyed it will be upon us!
340_124368_000070_000002	That is cool.	That is cool.
340_124368_000071_000000	To be sure, what the robber demanded of me-my money was my own, and I had a clear right to keep it; but it was no more my own than my vote is my own; and the threat of death to me, to extort my money, and the threat of destruction to the Union, to extort my vote, can scarcely be distinguished in principle.	To be sure, what the robber demanded of me my money was my own, and I had a clear right to keep it; but it was no more my own than my vote is my own; and the threat of death to me, to extort my money, and the threat of destruction to the Union, to extort my vote, can scarcely be distinguished in principle.
340_124368_000072_000001	Let us Republicans do our part to have it so.	Let us Republicans do our part to have it so.
340_124368_000072_000002	Even though much provoked, let us do nothing through passion and ill temper.	Even though much provoked, let us do nothing through passion and ill temper.
340_124368_000073_000001	We know they will not.	We know they will not.
340_124368_000073_000002	In all their present complaints against us, the Territories are scarcely mentioned.	In all their present complaints against us, the Territories are scarcely mentioned.
340_124368_000073_000005	We know it will not.	We know it will not.
340_124368_000074_000001	Simply this: We must not only let them alone, but we must, somehow, convince them that we do let them alone.	Simply this: We must not only let them alone, but we must, somehow, convince them that we do let them alone.
340_124368_000074_000002	This, we know by experience, is no easy task.	This, we know by experience, is no easy task.
340_124368_000074_000004	In all our platforms and speeches we have constantly protested our purpose to let them alone; but this has had no tendency to convince them.	In all our platforms and speeches we have constantly protested our purpose to let them alone; but this has had no tendency to convince them.
340_124368_000075_000000	These natural and apparently adequate means all failing, what will convince them?	These natural and apparently adequate means all failing, what will convince them?
340_124368_000075_000002	And this must be done thoroughly--done in acts as well as in words.	And this must be done thoroughly-done in acts as well as in words.
340_124368_000076_000002	They will continue to accuse us of doing, until we cease saying.	They will continue to accuse us of doing, until we cease saying.
340_124368_000077_000003	Demanding what they do, and for the reason they do, they can voluntarily stop nowhere short of this consummation.	Demanding what they do, and for the reason they do, they can voluntarily stop nowhere short of this consummation.
340_124368_000078_000001	If slavery is right, all words, acts, laws, and constitutions against it are themselves wrong, and should be silenced and swept away.	If slavery is right, all words, acts, laws, and constitutions against it are themselves wrong, and should be silenced and swept away.
340_124368_000078_000002	If it is right, we cannot justly object to its nationality its universality; if it is wrong, they cannot justly insist upon its extension--its enlargement.	If it is right, we cannot justly object to its nationality its universality; if it is wrong, they cannot justly insist upon its extension-its enlargement.
340_124368_000078_000003	All they ask we could readily grant if we thought slavery right; all we ask they could as readily grant, if they thought it wrong.	All they ask we could readily grant if we thought slavery right; all we ask they could as readily grant, if they thought it wrong.
340_124368_000078_000004	Their thinking it right and our thinking it wrong is the precise fact upon which depends the whole controversy.	Their thinking it right and our thinking it wrong is the precise fact upon which depends the whole controversy.
340_124368_000078_000005	Thinking it right, as they do, they are not to blame for desiring its full recognition, as being right; but thinking it wrong, as we do, can we yield to them?	Thinking it right, as they do, they are not to blame for desiring its full recognition, as being right; but thinking it wrong, as we do, can we yield to them?
