2592_5341_000001_000000	CHAPTER XV.	CHAPTER fifteen.
2592_5341_000031_000000	"Where is the wine, Peter?"	"Where is the wine, peter?"
2592_5341_000032_000000	The servant put it out, port and sherry.	The servant put it out, port and sherry.
2592_5341_000032_000001	Mr. Carlyle drank a glass, and then proceeded to mix some wine and water.	mr Carlyle drank a glass, and then proceeded to mix some wine and water.
2592_5341_000032_000002	"Shall I mix some for you, Cornelia?" he asked.	"Shall I mix some for you, Cornelia?" he asked.
2592_5341_000033_000000	"I'll mix for myself if I want any.	"I'll mix for myself if I want any.
2592_5341_000033_000001	Who's that for?"	Who's that for?"
2592_5341_000034_000000	"Isabel."	"Isabel."
2592_5341_000035_000000	He quitted the room, carrying the wine and water, and entered his wife's.	He quitted the room, carrying the wine and water, and entered his wife's.
2592_5341_000035_000001	She was sitting half buried, it seemed, in the arm-chair, her face muffled up.	She was sitting half buried, it seemed, in the arm chair, her face muffled up.
2592_5341_000035_000002	As she raised it, he saw that it was flushed and agitated; that her eyes were bright, and her frame was trembling.	As she raised it, he saw that it was flushed and agitated; that her eyes were bright, and her frame was trembling.
2592_5341_000036_000000	"What is the matter?" he hastily asked.	"What is the matter?" he hastily asked.
2592_5341_000037_000000	"I got nervous after Marvel went," she whispered, laying hold of him, as if for protection from terror.	"I got nervous after Marvel went," she whispered, laying hold of him, as if for protection from terror.
2592_5341_000037_000001	"I came back to the chair and covered my head over, hoping some one would come up."	"I came back to the chair and covered my head over, hoping some one would come up."
2592_5341_000038_000000	"I have been talking to Cornelia.	"I have been talking to Cornelia.
2592_5341_000038_000001	But what made you nervous?"	But what made you nervous?"
2592_5341_000039_000000	"Oh!	"Oh!
2592_5341_000039_000001	I was very foolish.	I was very foolish.
2592_5341_000039_000002	I kept thinking of frightful things.	I kept thinking of frightful things.
2592_5341_000039_000003	They would come into my mind.	They would come into my mind.
2592_5341_000039_000004	Do not blame me, Archibald.	Do not blame me, Archibald.
2592_5341_000039_000005	This is the room papa died in."	This is the room papa died in."
2592_5341_000040_000000	"Blame you, my darling," he uttered with deep feeling.	"Blame you, my darling," he uttered with deep feeling.
2592_5341_000041_000000	"I thought of a dreadful story about the bats, that the servants told--I dare say you never heard it; and I kept thinking.	"I thought of a dreadful story about the bats, that the servants told-I dare say you never heard it; and I kept thinking.
2592_5341_000042_000000	Yes, he was smiling; for he knew that these moments of nervous fear are best met jestingly.	Yes, he was smiling; for he knew that these moments of nervous fear are best met jestingly.
2592_5341_000042_000001	He made her drink the wine and water, and then he showed her where the bell was, ringing it as he did so.	He made her drink the wine and water, and then he showed her where the bell was, ringing it as he did so.
2592_5341_000042_000002	Its position had been changed in some late alterations to the house.	Its position had been changed in some late alterations to the house.
2592_5341_000043_000000	"Your rooms shall be changed to-morrow, Isabel."	"Your rooms shall be changed to morrow, Isabel."
2592_5341_000044_000000	"No, let us remain in these.	"No, let us remain in these.
2592_5341_000044_000001	I shall like to feel that papa was once their occupant.	I shall like to feel that papa was once their occupant.
2592_5341_000045_000000	But, even as she spoke, her actions belied her words.	But, even as she spoke, her actions belied her words.
2592_5341_000045_000001	Mr. Carlyle had gone to the door and opened it, and she flew close up to him, cowering behind him.	mr Carlyle had gone to the door and opened it, and she flew close up to him, cowering behind him.
2592_5341_000046_000000	"Shall you be gone very long, Archibald?" she whispered.	"Shall you be gone very long, Archibald?" she whispered.
2592_5341_000047_000000	"Not more than an hour," he answered.	"Not more than an hour," he answered.
2592_5341_000047_000001	But he hastily put back one of his hands, and held her tightly in his protecting grasp.	But he hastily put back one of his hands, and held her tightly in his protecting grasp.
2592_5341_000047_000002	Marvel was coming along the corridor in answer to the ring.	Marvel was coming along the corridor in answer to the ring.
2592_5341_000048_000000	"Have the goodness to let Miss Carlyle know that I am not coming down again to-night," he said.	"Have the goodness to let Miss Carlyle know that I am not coming down again to night," he said.
2592_5341_000049_000000	"Yes, sir."	"Yes, sir."
2592_5341_000050_000000	Mr. Carlyle shut the door, and then looked at his wife and laughed.	mr Carlyle shut the door, and then looked at his wife and laughed.
2592_5341_000050_000001	"He is very kind to me," thought Isabel.	"He is very kind to me," thought Isabel.
2592_5341_000051_000000	With the morning began the perplexities of Lady Isabel Carlyle.	With the morning began the perplexities of Lady Isabel Carlyle.
2592_5341_000051_000001	But, first of all, just fancy the group at breakfast.	But, first of all, just fancy the group at breakfast.
2592_5341_000051_000002	Miss Carlyle descended in the startling costume the reader has seen, took her seat at the breakfast-table, and there sat bolt upright.	Miss Carlyle descended in the startling costume the reader has seen, took her seat at the breakfast table, and there sat bolt upright.
2592_5341_000051_000003	Mr. Carlyle came down next; and then Lady Isabel entered, in an elegant half-mourning dress, with flowing black ribbons.	mr Carlyle came down next; and then Lady Isabel entered, in an elegant half mourning dress, with flowing black ribbons.
2592_5341_000052_000001	I hope you slept well," was Miss Carlyle's salutation.	I hope you slept well," was Miss Carlyle's salutation.
2592_5341_000053_000000	"Quite well, thank you," she answered, as she took her seat opposite Miss Carlyle.	"Quite well, thank you," she answered, as she took her seat opposite Miss Carlyle.
2592_5341_000053_000001	Miss Carlyle pointed to the top of the table.	Miss Carlyle pointed to the top of the table.
2592_5341_000055_000000	"I should be glad if you would," answered Lady Isabel.	"I should be glad if you would," answered Lady Isabel.
2592_5341_000056_000000	So Miss Carlyle proceeded to her duties, very stern and grim.	So Miss Carlyle proceeded to her duties, very stern and grim.
2592_5341_000056_000001	The meal was nearly over, when Peter came in, and said the butcher had come up for orders.	The meal was nearly over, when peter came in, and said the butcher had come up for orders.
2592_5341_000056_000002	Miss Carlyle looked at Lady Isabel, waiting, of course, for her to give them.	Miss Carlyle looked at Lady Isabel, waiting, of course, for her to give them.
2592_5341_000056_000003	Isabel was silent with perplexity; she had never given such an order in her life.	Isabel was silent with perplexity; she had never given such an order in her life.
2592_5341_000056_000004	Totally ignorant was she of the requirements of a household; and did not know whether to suggest a few pounds of meat or a whole cow.	Totally ignorant was she of the requirements of a household; and did not know whether to suggest a few pounds of meat or a whole cow.
2592_5341_000056_000005	It was the presence of that grim Miss Corny which put her out.	It was the presence of that grim Miss Corny which put her out.
2592_5341_000056_000006	Alone with her husband she would have said, "What ought I to order, Archibald?	Alone with her husband she would have said, "What ought I to order, Archibald?
2592_5341_000056_000007	Tell me." Peter waited.	Tell me." peter waited.
2592_5341_000057_000000	"A----Something to roast and boil, if you please," stammered Lady Isabel.	"A----Something to roast and boil, if you please," stammered Lady Isabel.
2592_5341_000058_000000	She spoke in a low tone.	She spoke in a low tone.
2592_5341_000058_000001	Embarrassment makes cowards of us; and Mr. Carlyle repeated it after her.	Embarrassment makes cowards of us; and mr Carlyle repeated it after her.
2592_5341_000058_000002	He knew no more about housekeeping than she did.	He knew no more about housekeeping than she did.
2592_5341_000059_000000	"Something to roast and boil, tell the man, Peter."	"Something to roast and boil, tell the man, peter."
2592_5341_000060_000000	Up started Miss Corny; she could not stand that.	Up started Miss Corny; she could not stand that.
2592_5341_000060_000001	"Are you aware, Lady Isabel, that an order such as that would only puzzle the butcher?	"Are you aware, Lady Isabel, that an order such as that would only puzzle the butcher?
2592_5341_000060_000002	Shall I give the necessary orders for to-day?	Shall I give the necessary orders for to day?
2592_5341_000060_000003	The fishmonger will be here presently!"	The fishmonger will be here presently!"
2592_5341_000061_000000	"Oh, I wish you would!" cried the relieved Lady Isabel.	"Oh, I wish you would!" cried the relieved Lady Isabel.
2592_5341_000061_000001	"I have not been accustomed to it, but I must learn.	"I have not been accustomed to it, but I must learn.
2592_5341_000061_000002	I don't think I know anything about housekeeping."	I don't think I know anything about housekeeping."
2592_5341_000062_000000	Miss Corny's answer was to stalk from the room.	Miss Corny's answer was to stalk from the room.
2592_5341_000062_000001	Isabel rose from her chair, like a bird released from its cage, and stood by his side.	Isabel rose from her chair, like a bird released from its cage, and stood by his side.
2592_5341_000062_000002	"Have you finished, Archibald?"	"Have you finished, Archibald?"
2592_5341_000063_000000	"I think I have, dear.	"I think I have, dear.
2592_5341_000063_000001	Oh!	Oh!
2592_5341_000063_000002	Here's my coffee.	Here's my coffee.
2592_5341_000063_000003	There; I have finished now."	There; I have finished now."
2592_5341_000064_000000	"Let us go around the grounds."	"Let us go around the grounds."
2592_5341_000065_000000	He rose, laid his hands playfully on her slender waist, and looked at her.	He rose, laid his hands playfully on her slender waist, and looked at her.
2592_5341_000065_000001	"You may as well ask me to take a journey to the moon.	"You may as well ask me to take a journey to the moon.
2592_5341_000065_000002	It is past nine, and I have not been to the office for a month."	It is past nine, and I have not been to the office for a month."
2592_5341_000066_000001	"I wish you would be always with me!	"I wish you would be always with me!
2592_5341_000066_000002	East Lynne will not be East Lynne without you."	East Lynne will not be East Lynne without you."
2592_5341_000067_000000	"I will be with you as much as ever I can, my dearest," he whispered.	"I will be with you as much as ever I can, my dearest," he whispered.
2592_5341_000068_000000	She ran for her bonnet, gloves and parasol.	She ran for her bonnet, gloves and parasol.
2592_5341_000068_000001	Mr. Carlyle waited for her in the hall, and they went out together.	mr Carlyle waited for her in the hall, and they went out together.
2592_5341_000069_000000	He thought it a good opportunity to speak about his sister.	He thought it a good opportunity to speak about his sister.
2592_5341_000069_000001	"She wishes to remain with us," he said.	"She wishes to remain with us," he said.
2592_5341_000069_000002	"I do not know what to decide.	"I do not know what to decide.
2592_5341_000069_000003	On the one hand I think she might save you the worry of household management; on the other, I fancy we shall be happier by ourselves."	On the one hand I think she might save you the worry of household management; on the other, I fancy we shall be happier by ourselves."
2592_5341_000070_000000	Isabel's heart sank within her at the idea of that stern Miss Corny, mounted over her as resident guard; but, refined and sensitive, almost painfully considerate of the feelings of others, she raised no word of objection.	Isabel's heart sank within her at the idea of that stern Miss Corny, mounted over her as resident guard; but, refined and sensitive, almost painfully considerate of the feelings of others, she raised no word of objection.
2592_5341_000070_000001	"As you and Miss Carlyle please," she answered.	"As you and Miss Carlyle please," she answered.
2592_5341_000071_000000	"Isabel," he said, "I wish it to be as you please; I wish matters to be arranged as may best please you: and I will have them so arranged.	"Isabel," he said, "I wish it to be as you please; I wish matters to be arranged as may best please you: and I will have them so arranged.
2592_5341_000071_000001	My chief object in life now is your happiness."	My chief object in life now is your happiness."
2592_5341_000072_000000	He spoke in all the sincerity of truth, and Isabel knew it: and the thought came across her that with him by her side, her loving protector, Miss Carlyle could not mar her life's peace.	He spoke in all the sincerity of truth, and Isabel knew it: and the thought came across her that with him by her side, her loving protector, Miss Carlyle could not mar her life's peace.
2592_5341_000072_000001	"Let her stay, Archibald; she will not incommode us."	"Let her stay, Archibald; she will not incommode us."
2592_5341_000073_000000	"At any rate it can be tried for a month or two, and we shall see how it works," he musingly observed.	"At any rate it can be tried for a month or two, and we shall see how it works," he musingly observed.
2592_5341_000074_000000	They reached the park gates.	They reached the park gates.
2592_5341_000074_000001	"I wish I could go with you and be your clerk," she cried, unwilling to release his hand.	"I wish I could go with you and be your clerk," she cried, unwilling to release his hand.
2592_5341_000074_000002	"I should not have all that long way to go back by myself."	"I should not have all that long way to go back by myself."
2592_5341_000075_000000	He laughed and shook his head, telling her that she wanted to bribe him into taking her back, but it could not be.	He laughed and shook his head, telling her that she wanted to bribe him into taking her back, but it could not be.
