7766_109658_000000_000000	OUT OF NAZARETH	OUT OF NAZARETH	true	21.21	22.93	21.257402
7766_109658_000007_000003	Positively, no lot would be priced higher than five hundred dollars.	Positively, no lot would be priced higher than five hundred dollars.	true	341.87	346.59	24
7766_109658_000008_000000	While the boom was growing in Okochee, J. Pinkney's circulars, maps, and prospectuses were flying through the mails to every part of the country.	While the boom was growing in Okochee, j Pinkney's circulars, maps, and prospectuses were flying through the mails to every part of the country.	false	346.59	355.75	25.780184
7766_109658_000008_000001	Investors sent in their money by post, and the Skyland Real Estate Company (J.	Investors sent in their money by post, and the Skyland Real Estate Company (J.	false	356.12	361.2	24.59486
7766_109658_000008_000002	Pinkney Bloom) returned to each a deed, duly placed on record, to the best lot, at the price, on hand that day.	Pinkney Bloom) returned to each a deed, duly placed on record, to the best lot, at the price, on hand that day.	true	361.2	369.46	28.803398
7766_109658_000008_000003	All this time the catamount screeched upon the reserved lot of the Skyland Board of Trade, the opossum swung by his tail over the site of the exposition hall, and the owl hooted a melancholy recitative to his audience of young squirrels in opera house square.	All this time the catamount screeched upon the reserved lot of the Skyland Board of Trade, the opossum swung by his tail over the site of the exposition hall, and the owl hooted a melancholy recitative to his audience of young squirrels in opera house square.	false	369.74	386.26	23
7766_109658_000008_000004	Later, when the money was coming in fast, J. Pinkney caused to be erected in the coming city half a dozen cheap box houses, and persuaded a contingent of indigent natives to occupy them, thereby assuming the role of "population" in subsequent prospectuses, which became, accordingly, more seductive and remunerative.	Later, when the money was coming in fast, j Pinkney caused to be erected in the coming city half a dozen cheap box houses, and persuaded a contingent of indigent natives to occupy them, thereby assuming the role of "population" in subsequent prospectuses, which became, accordingly, more seductive and remunerative.	false	386.45	407.95	24.574356
7766_109658_000009_000000	So, when the dream faded and Okochee dropped back to digging bait and nursing its two and a half per cent.	So, when the dream faded and Okochee dropped back to digging bait and nursing its two and a half per cent.	false	408.14	413.91	20
7766_109658_000009_000001	tax, J. Pinkney Bloom (unloving of checks and drafts and the cold interrogatories of bankers) strapped about his fifty-two-inch waist a soft leather belt containing eight thousand dollars in big bills, and said that all was very good.	tax, j Pinkney Bloom (unloving of checks and drafts and the cold interrogatories of bankers) strapped about his fifty two inch waist a soft leather belt containing eight thousand dollars in big bills, and said that all was very good.	true	413.91	431.17	25.022114
7766_109658_000010_000000	One last trip he was making to Skyland before departing to other salad fields.	One last trip he was making to Skyland before departing to other salad fields.	true	431.18	436.545	21.693863
7766_109658_000010_000001	Skyland was a regular post-office, and the steamboat, _Dixie Belle_, under contract, delivered the mail bag (generally empty) twice a week.	Skyland was a regular post office, and the steamboat, underscore Dixie Belle underscore, under contract, delivered the mail bag (generally empty) twice a week.	false	436.545	445.125	21
7766_109658_000010_000002	There was a little business there to be settled--the postmaster was to be paid off for his light but lonely services, and the "inhabitants" had to be furnished with another month's homely rations, as per agreement.	There was a little business there to be settled-the postmaster was to be paid off for his light but lonely services, and the "inhabitants" had to be furnished with another month's homely rations, as per agreement.	true	445.125	457.77	23
7766_109658_000010_000003	And then Skyland would know J. Pinkney Bloom no more.	And then Skyland would know j Pinkney Bloom no more.	true	457.77	461.83	24
7766_109658_000010_000004	The owners of these precipitous, barren, useless lots might come and view the scene of their invested credulity, or they might leave them to their fit tenants, the wild hog and the browsing deer.	The owners of these precipitous, barren, useless lots might come and view the scene of their invested credulity, or they might leave them to their fit tenants, the wild hog and the browsing deer.	false	461.84	473.895	21
7766_109658_000010_000005	The work of the Skyland Real Estate Company was finished.	The work of the Skyland Real Estate Company was finished.	true	473.895	477.64	26.610909
7766_109658_000011_000000	The little steamboat _Dixie Belle_ was about to shove off on her regular up-the-lake trip, when a rickety hired carriage rattled up to the pier, and a tall, elderly gentleman, in black, stepped out, signaling courteously but vivaciously for the boat to wait.	The little steamboat underscore Dixie Belle underscore was about to shove off on her regular up the lake trip, when a rickety hired carriage rattled up to the pier, and a tall, elderly gentleman, in black, stepped out, signaling courteously but vivaciously for the boat to wait.	false	478.7	495.58	25.58621
7766_109658_000011_000001	Time was of the least importance in the schedule of the _Dixie Belle_; Captain MacFarland gave the order, and the boat received its ultimate two passengers.	Time was of the least importance in the schedule of the underscore Dixie Belle underscore; Captain MacFarland gave the order, and the boat received its ultimate two passengers.	false	495.77	505.29	24.250383
7766_109658_000011_000002	For, upon the arm of the tall, elderly gentleman, as he crossed the gangway, was a little elderly lady, with a gray curl depending quaintly forward of her left ear.	For, upon the arm of the tall, elderly gentleman, as he crossed the gangway, was a little elderly lady, with a gray curl depending quaintly forward of her left ear.	false	505.29	516.79	23.440449
7766_109658_000012_000000	Captain MacFarland was at the wheel; therefore it seemed to J. Pinkney Bloom, who was the only other passenger, that it should be his to play the part of host to the boat's new guests, who were, doubtless, on a scenery-viewing expedition.	Captain MacFarland was at the wheel; therefore it seemed to j Pinkney Bloom, who was the only other passenger, that it should be his to play the part of host to the boat's new guests, who were, doubtless, on a scenery viewing expedition.	false	517.1	531.61	23.82366
7766_109658_000012_000001	He stepped forward, with that translucent, child-candid smile upon his fresh, pink countenance, with that air of unaffected sincerity that was redeemed from bluffness only by its exquisite calculation, with that promptitude and masterly decision of manner that so well suited his calling--with all his stock in trade well to the front; he stepped forward to receive Colonel and Mrs. Peyton Blaylock.	He stepped forward, with that translucent, child candid smile upon his fresh, pink countenance, with that air of unaffected sincerity that was redeemed from bluffness only by its exquisite calculation, with that promptitude and masterly decision of manner that so well suited his calling-with all his stock in trade well to the front; he stepped forward to receive Colonel and mrs Peyton Blaylock.	true	531.68	558.615	25.564207
7766_109658_000012_000002	With the grace of a grand marshal or a wedding usher, he escorted the two passengers to a side of the upper deck, from which the scenery was supposed to present itself to the observer in increased quantity and quality.	With the grace of a grand marshal or a wedding usher, he escorted the two passengers to a side of the upper deck, from which the scenery was supposed to present itself to the observer in increased quantity and quality.	false	558.615	571.15	23.85979
7766_109658_000012_000003	There, in comfortable steamer chairs, they sat and began to piece together the random lines that were to form an intelligent paragraph in the big history of little events.	There, in comfortable steamer chairs, they sat and began to piece together the random lines that were to form an intelligent paragraph in the big history of little events.	false	571.31	582.13	21
7766_109658_000013_000000	"Our home, sir," said Colonel Blaylock, removing his wide-brimmed, rather shapeless black felt hat, "is in Holly Springs--Holly Springs, Georgia.	"Our home, sir," said Colonel Blaylock, removing his wide brimmed, rather shapeless black felt hat, "is in Holly Springs-Holly Springs, Georgia.	true	583.64	594.37	25.136791
7766_109658_000013_000001	I am very proud to make your acquaintance, Mr. Bloom.	I am very proud to make your acquaintance, mr Bloom.	false	594.47	597.51	26
7766_109658_000013_000002	Mrs. Blaylock and myself have just arrived in Okochee this morning, sir, on business--business of importance in connection with the recent rapid march of progress in this section of our state."	mrs Blaylock and myself have just arrived in Okochee this morning, sir, on business-business of importance in connection with the recent rapid march of progress in this section of our state."	false	597.51	610.15	22
7766_109658_000014_000000	The Colonel smoothed back, with a sweeping gesture, his long, smooth, locks.	The Colonel smoothed back, with a sweeping gesture, his long, smooth, locks.	true	610.43	615.16	24.552416
7766_109658_000014_000001	His dark eyes, still fiery under the heavy black brows, seemed inappropriate to the face of a business man.	His dark eyes, still fiery under the heavy black brows, seemed inappropriate to the face of a business man.	false	615.29	622.6	26.467144
7766_109658_000014_000002	He looked rather to be an old courtier handed down from the reign of Charles, and re-attired in a modern suit of fine, but raveling and seam-worn, broadcloth.	He looked rather to be an old courtier handed down from the reign of Charles, and re attired in a modern suit of fine, but raveling and seam worn, broadcloth.	true	622.94	633.7	24.528797
7766_109658_000015_000000	"Yes, sir," said Mr. Bloom, in his heartiest prospectus voice, "things have been whizzing around Okochee.	"Yes, sir," said mr Bloom, in his heartiest prospectus voice, "things have been whizzing around Okochee.	true	633.71	640.545	22
7766_109658_000015_000001	Biggest industrial revival and waking up to natural resources Georgia ever had.	Biggest industrial revival and waking up to natural resources Georgia ever had.	true	640.545	645.555	16
7766_109658_000015_000002	Did you happen to squeeze in on the ground floor in any of the gilt-edged grafts, Colonel?"	Did you happen to squeeze in on the ground floor in any of the gilt edged grafts, Colonel?"	true	645.555	650.83	21
7766_109658_000016_000000	"Well, sir," said the Colonel, hesitating in courteous doubt, "if I understand your question, I may say that I took the opportunity to make an investment that I believe will prove quite advantageous--yes, sir, I believe it will result in both pecuniary profit and agreeable occupation."	"Well, sir," said the Colonel, hesitating in courteous doubt, "if I understand your question, I may say that I took the opportunity to make an investment that I believe will prove quite advantageous-yes, sir, I believe it will result in both pecuniary profit and agreeable occupation."	false	651.11	670.36	23.304829
7766_109658_000017_000000	"Colonel Blaylock," said the little elderly lady, shaking her gray curl and smiling indulgent explanation at J. Pinkney Bloom, "is so devoted to businesss.	"Colonel Blaylock," said the little elderly lady, shaking her gray curl and smiling indulgent explanation at j Pinkney Bloom, "is so devoted to businesss.	false	670.79	682.05	24
7766_109658_000017_000001	He has such a talent for financiering and markets and investments and those kind of things.	He has such a talent for financiering and markets and investments and those kind of things.	true	682.05	688.03	25.845957
7766_109658_000017_000002	I think myself extremely fortunate in having secured him for a partner on life's journey--I am so unversed in those formidable but very useful branches of learning."	I think myself extremely fortunate in having secured him for a partner on life's journey-I am so unversed in those formidable but very useful branches of learning."	false	688.04	698.62	26.042908
7766_109658_000018_000000	Colonel Blaylock rose and made a bow--a bow that belonged with silk stockings and lace ruffles and velvet.	Colonel Blaylock rose and made a bow-a bow that belonged with silk stockings and lace ruffles and velvet.	false	699.47	706.48	25.86468
7766_109658_000019_000000	"Practical affairs," he said, with a wave of his hand toward the promoter, "are, if I may use the comparison, the garden walks upon which we tread through life, viewing upon either side of us the flowers which brighten that journey.	"Practical affairs," he said, with a wave of his hand toward the promoter, "are, if I may use the comparison, the garden walks upon which we tread through life, viewing upon either side of us the flowers which brighten that journey.	true	706.58	719.88	24
7766_109658_000019_000001	It is my pleasure to be able to lay out a walk or two.	It is my pleasure to be able to lay out a walk or two.	false	719.88	722.86	26.791407
7766_109658_000019_000002	Mrs. Blaylock, sir, is one of those fortunate higher spirits whose mission it is to make the flowers grow.	mrs Blaylock, sir, is one of those fortunate higher spirits whose mission it is to make the flowers grow.	true	723.29	729.99	24.951225
7766_109658_000019_000003	Perhaps, Mr. Bloom, you have perused the lines of Lorella, the Southern poetess. That is the name above which Mrs. Blaylock has contributed to the press of the South for many years."	Perhaps, mr Bloom, you have perused the lines of Lorella, the Southern poetess. That is the name above which mrs Blaylock has contributed to the press of the South for many years."	false	729.99	740.89	22.027279
7766_109658_000020_000000	"Unfortunately," said Mr. Bloom, with a sense of the loss clearly written upon his frank face, "I'm like the Colonel--in the walk-making business myself--and I haven't had time to even take a sniff at the flowers.	"Unfortunately," said mr Bloom, with a sense of the loss clearly written upon his frank face, "I'm like the Colonel-in the walk making business myself-and I haven't had time to even take a sniff at the flowers.	false	741.2	754.455	22.483643
7766_109658_000020_000001	Poetry is a line I never dealt in.	Poetry is a line I never dealt in.	true	754.455	756.88	19
7766_109658_000020_000002	It must be nice, though--quite nice."	It must be nice, though-quite nice."	true	757.16	759.94	28.356945
7766_109658_000021_000000	"It is the region," smiled Mrs. Blaylock, "in which my soul dwells.	"It is the region," smiled mrs Blaylock, "in which my soul dwells.	false	760.13	765.43	24.026634
7766_109658_000021_000001	My shawl, Peyton, if you please--the breeze comes a little chilly from yon verdured hills."	My shawl, Peyton, if you please-the breeze comes a little chilly from yon verdured hills."	true	765.59	771.97	26.414778
7766_109658_000022_000000	The Colonel drew from the tail pocket of his coat a small shawl of knitted silk and laid it solicitously about the shoulders of the lady. Mrs. Blaylock sighed contentedly, and turned her expressive eyes--still as clear and unworldly as a child's--upon the steep slopes that were slowly slipping past.	The Colonel drew from the tail pocket of his coat a small shawl of knitted silk and laid it solicitously about the shoulders of the lady. mrs Blaylock sighed contentedly, and turned her expressive eyes-still as clear and unworldly as a child's-upon the steep slopes that were slowly slipping past.	false	772.25	792.82	24
7766_109658_000022_000001	Very fair and stately they looked in the clear morning air.	Very fair and stately they looked in the clear morning air.	true	793.07	797.11	26.303919
7766_109658_000022_000002	They seemed to speak in familiar terms to the responsive spirit of Lorella.	They seemed to speak in familiar terms to the responsive spirit of Lorella.	true	797.27	802.18	24.590836
7766_109658_000022_000003	"My native hills!" she murmured, dreamily.	"My native hills!" she murmured, dreamily.	true	802.4	805.575	24.986254
7766_109658_000022_000004	"See how the foliage drinks the sunlight from the hollows and dells."	"See how the foliage drinks the sunlight from the hollows and dells."	true	805.575	809.43	20
7766_109658_000023_000000	"Mrs. Blaylock's maiden days," said the Colonel, interpreting her mood to J. Pinkney Bloom, "were spent among the mountains of northern Georgia.	"mrs Blaylock's maiden days," said the Colonel, interpreting her mood to j Pinkney Bloom, "were spent among the mountains of northern Georgia.	false	809.43	819.645	24.685612
7766_109658_000023_000001	Mountain air and mountain scenery recall to her those days. Holly Springs, where we have lived for twenty years, is low and flat.	Mountain air and mountain scenery recall to her those days. Holly Springs, where we have lived for twenty years, is low and flat.	true	819.645	827.76	16
7766_109658_000023_000002	I fear that she may have suffered in health and spirits by so long a residence there.	I fear that she may have suffered in health and spirits by so long a residence there.	false	827.76	832.81	18
7766_109658_000023_000003	That is one portent reason for the change we are making.	That is one portent reason for the change we are making.	true	832.91	836.68	20
7766_109658_000023_000004	My dear, can you not recall those lines you wrote--entitled, I think, 'The Georgia Hills'--the poem that was so extensively copied by the Southern press and praised so highly by the Atlanta critics?"	My dear, can you not recall those lines you wrote-entitled, I think, 'The Georgia Hills'--the poem that was so extensively copied by the Southern press and praised so highly by the Atlanta critics?"	false	836.84	849.34	22
7766_109658_000024_000000	Mrs. Blaylock turned a glance of speaking tenderness upon the Colonel, fingered for a moment the silvery curl that drooped upon her bosom, then looked again toward the mountains.	mrs Blaylock turned a glance of speaking tenderness upon the Colonel, fingered for a moment the silvery curl that drooped upon her bosom, then looked again toward the mountains.	true	849.53	859.845	20
7766_109658_000024_000001	Without preliminary or affectation or demurral she began, in rather thrilling and more deeply pitched tones to recite these lines:	Without preliminary or affectation or demurral she began, in rather thrilling and more deeply pitched tones to recite these lines:	true	859.845	869.68	19
7766_109658_000025_000000	"The Georgia hills, the Georgia hills!-- Oh, heart, why dost thou pine? Are not these sheltered lowlands fair With mead and bloom and vine? Ah! as the slow-paced river here Broods on its natal rills My spirit drifts, in longing sweet, Back to the Georgia hills.	"The Georgia hills, the Georgia hills!-- Oh, heart, why dost thou pine? Are not these sheltered lowlands fair With mead and bloom and vine? Ah! as the slow paced river here Broods on its natal rills My spirit drifts, in longing sweet, Back to the Georgia hills.	false	871.01	891.255	25.504189
7766_109658_000026_000000	"And through the close-drawn, curtained night I steal on sleep's slow wings Back to my heart's ease--slopes of pine-- Where end my wanderings. Oh, heaven seems nearer from their tops-- And farther earthly ills-- Even in dreams, if I may but Dream of my Georgia hills.	"And through the close drawn, curtained night I steal on sleep's slow wings Back to my heart's ease-slopes of pine- Where end my wanderings. Oh, heaven seems nearer from their tops- And farther earthly ills- Even in dreams, if I may but Dream of my Georgia hills.	false	891.255	910.965	25.29858
7766_109658_000027_000000	The grass upon their orchard sides Is a fine couch to me; The common note of each small bird Passes all minstrelsy. It would not seem so dread a thing If, when the Reaper wills, He might come there and take my hand Up in the Georgia hills."	The grass upon their orchard sides Is a fine couch to me; The common note of each small bird Passes all minstrelsy. It would not seem so dread a thing If, when the Reaper wills, He might come there and take my hand Up in the Georgia hills."	false	910.965	927.37	26.28798
7766_109658_000028_000000	"That's great stuff, ma'am," said J. Pinkney Bloom, enthusiastically, when the poetess had concluded.	"That's great stuff, ma'am," said j Pinkney Bloom, enthusiastically, when the poetess had concluded.	true	928.55	935.8	25.783176
7766_109658_000028_000001	"I wish I had looked up poetry more than I have.	"I wish I had looked up poetry more than I have.	true	935.9	939.24	21.828665
7766_109658_000028_000002	I was raised in the pine hills myself."	I was raised in the pine hills myself."	true	939.24	941.8	25.757067
7766_109658_000029_000000	"The mountains ever call to their children," murmured Mrs. Blaylock.	"The mountains ever call to their children," murmured mrs Blaylock.	true	941.9	946.335	28.502373
7766_109658_000029_000001	"I feel that life will take on the rosy hue of hope again in among these beautiful hills.	"I feel that life will take on the rosy hue of hope again in among these beautiful hills.	false	946.335	952.8	23.942034
7766_109658_000029_000002	Peyton--a little taste of the currant wine, if you will be so good.	Peyton-a little taste of the currant wine, if you will be so good.	true	952.8	957.435	27.407656
7766_109658_000029_000003	The journey, though delightful in the extreme, slightly fatigues me." Colonel Blaylock again visited the depths of his prolific coat, and produced a tightly corked, rough, black bottle. Mr. Bloom was on his feet in an instant.	The journey, though delightful in the extreme, slightly fatigues me." Colonel Blaylock again visited the depths of his prolific coat, and produced a tightly corked, rough, black bottle. mr Bloom was on his feet in an instant.	true	957.435	971.7	26.217014
7766_109658_000030_000000	"Let me bring a glass, ma'am.	"Let me bring a glass, ma'am.	true	971.7	973.755	25.91485
7766_109658_000030_000001	You come along, Colonel--there's a little table we can bring, too.	You come along, Colonel-there's a little table we can bring, too.	true	973.755	977.49	21
7766_109658_000030_000002	Maybe we can scare up some fruit or a cup of tea on board.	Maybe we can scare up some fruit or a cup of tea on board.	true	977.49	981.18	28.443493
7766_109658_000030_000003	I'll ask Mac."	I'll ask Mac."	true	981.18	982.78	25.478758
7766_109658_000031_000000	Mrs. Blaylock reclined at ease.	mrs Blaylock reclined at ease.	true	983.36	985.78	24.546448
7766_109658_000031_000001	Few royal ladies have held their royal prerogative with the serene grace of the petted Southern woman.	Few royal ladies have held their royal prerogative with the serene grace of the petted Southern woman.	true	985.79	991.54	18
7766_109658_000031_000002	The Colonel, with an air as gallant and assiduous as in the days of his courtship, and J. Pinkney Bloom, with a ponderous agility half professional and half directed by some resurrected, unnamed, long-forgotten sentiment, formed a diversified but attentive court. The currant wine--wine home made from the Holly Springs fruit--went round, and then J. Pinkney began to hear something of Holly Springs life.	The Colonel, with an air as gallant and assiduous as in the days of his courtship, and j Pinkney Bloom, with a ponderous agility half professional and half directed by some resurrected, unnamed, long forgotten sentiment, formed a diversified but attentive court. The currant wine-wine home made from the Holly Springs fruit-went round, and then j Pinkney began to hear something of Holly Springs life.	false	991.7	1017.75	25.871786
7766_109658_000032_000000	It seemed (from the conversation of the Blaylocks) that the Springs was decadent.	It seemed (from the conversation of the Blaylocks) that the Springs was decadent.	true	1017.75	1022.38	24.549143
7766_109658_000032_000001	A third of the population had moved away.	A third of the population had moved away.	true	1022.38	1024.98	22.788832
7766_109658_000032_000002	Business--and the Colonel was an authority on business--had dwindled to nothing.	Business-and the Colonel was an authority on business-had dwindled to nothing.	true	1024.98	1029.88	24.02992
7766_109658_000032_000003	After carefully studying the field of opportunities open to capital he had sold his little property there for eight hundred dollars and invested it in one of the enterprises opened up by the book in Okochee.	After carefully studying the field of opportunities open to capital he had sold his little property there for eight hundred dollars and invested it in one of the enterprises opened up by the book in Okochee.	false	1029.98	1043.41	24.58842
7766_109658_000033_000000	"Might I inquire, sir," said Mr. Bloom, "in what particular line of business you inserted your coin?	"Might I inquire, sir," said mr Bloom, "in what particular line of business you inserted your coin?	true	1043.51	1049.85	19
