7766_109658_000000_000000	OUT OF NAZARETH	OUT OF NAZARETH
7766_109658_000007_000002	Streets and avenues were surveyed; parks designed; corners of central squares reserved for the "proposed" opera house, board of trade, lyceum, market, public schools, and "Exposition Hall." The price of lots ranged from five to five hundred dollars.	Streets and avenues were surveyed; parks designed; corners of central squares reserved for the "proposed" opera house, board of trade, lyceum, market, public schools, and "Exposition Hall." The price of lots ranged from five to five hundred dollars.
7766_109658_000007_000003	Positively, no lot would be priced higher than five hundred dollars.	Positively, no lot would be priced higher than five hundred dollars.
7766_109658_000008_000002	Pinkney Bloom) returned to each a deed, duly placed on record, to the best lot, at the price, on hand that day.	Pinkney Bloom) returned to each a deed, duly placed on record, to the best lot, at the price, on hand that day.
7766_109658_000009_000001	tax, J. Pinkney Bloom (unloving of checks and drafts and the cold interrogatories of bankers) strapped about his fifty-two-inch waist a soft leather belt containing eight thousand dollars in big bills, and said that all was very good.	tax, j Pinkney Bloom (unloving of checks and drafts and the cold interrogatories of bankers) strapped about his fifty two inch waist a soft leather belt containing eight thousand dollars in big bills, and said that all was very good.
7766_109658_000010_000000	One last trip he was making to Skyland before departing to other salad fields.	One last trip he was making to Skyland before departing to other salad fields.
7766_109658_000010_000002	There was a little business there to be settled--the postmaster was to be paid off for his light but lonely services, and the "inhabitants" had to be furnished with another month's homely rations, as per agreement.	There was a little business there to be settled-the postmaster was to be paid off for his light but lonely services, and the "inhabitants" had to be furnished with another month's homely rations, as per agreement.
7766_109658_000010_000003	And then Skyland would know J. Pinkney Bloom no more.	And then Skyland would know j Pinkney Bloom no more.
7766_109658_000010_000005	The work of the Skyland Real Estate Company was finished.	The work of the Skyland Real Estate Company was finished.
7766_109658_000012_000001	He stepped forward, with that translucent, child-candid smile upon his fresh, pink countenance, with that air of unaffected sincerity that was redeemed from bluffness only by its exquisite calculation, with that promptitude and masterly decision of manner that so well suited his calling--with all his stock in trade well to the front; he stepped forward to receive Colonel and Mrs. Peyton Blaylock.	He stepped forward, with that translucent, child candid smile upon his fresh, pink countenance, with that air of unaffected sincerity that was redeemed from bluffness only by its exquisite calculation, with that promptitude and masterly decision of manner that so well suited his calling-with all his stock in trade well to the front; he stepped forward to receive Colonel and mrs Peyton Blaylock.
7766_109658_000013_000000	"Our home, sir," said Colonel Blaylock, removing his wide-brimmed, rather shapeless black felt hat, "is in Holly Springs--Holly Springs, Georgia.	"Our home, sir," said Colonel Blaylock, removing his wide brimmed, rather shapeless black felt hat, "is in Holly Springs-Holly Springs, Georgia.
7766_109658_000014_000000	The Colonel smoothed back, with a sweeping gesture, his long, smooth, locks.	The Colonel smoothed back, with a sweeping gesture, his long, smooth, locks.
7766_109658_000014_000002	He looked rather to be an old courtier handed down from the reign of Charles, and re-attired in a modern suit of fine, but raveling and seam-worn, broadcloth.	He looked rather to be an old courtier handed down from the reign of Charles, and re attired in a modern suit of fine, but raveling and seam worn, broadcloth.
7766_109658_000015_000000	"Yes, sir," said Mr. Bloom, in his heartiest prospectus voice, "things have been whizzing around Okochee.	"Yes, sir," said mr Bloom, in his heartiest prospectus voice, "things have been whizzing around Okochee.
7766_109658_000015_000002	Did you happen to squeeze in on the ground floor in any of the gilt-edged grafts, Colonel?"	Did you happen to squeeze in on the ground floor in any of the gilt edged grafts, Colonel?"
7766_109658_000017_000001	He has such a talent for financiering and markets and investments and those kind of things.	He has such a talent for financiering and markets and investments and those kind of things.
7766_109658_000019_000000	"Practical affairs," he said, with a wave of his hand toward the promoter, "are, if I may use the comparison, the garden walks upon which we tread through life, viewing upon either side of us the flowers which brighten that journey.	"Practical affairs," he said, with a wave of his hand toward the promoter, "are, if I may use the comparison, the garden walks upon which we tread through life, viewing upon either side of us the flowers which brighten that journey.
7766_109658_000019_000002	Mrs. Blaylock, sir, is one of those fortunate higher spirits whose mission it is to make the flowers grow.	mrs Blaylock, sir, is one of those fortunate higher spirits whose mission it is to make the flowers grow.
7766_109658_000020_000002	It must be nice, though--quite nice."	It must be nice, though-quite nice."
7766_109658_000021_000001	My shawl, Peyton, if you please--the breeze comes a little chilly from yon verdured hills."	My shawl, Peyton, if you please-the breeze comes a little chilly from yon verdured hills."
7766_109658_000022_000001	Very fair and stately they looked in the clear morning air.	Very fair and stately they looked in the clear morning air.
7766_109658_000022_000002	They seemed to speak in familiar terms to the responsive spirit of Lorella.	They seemed to speak in familiar terms to the responsive spirit of Lorella.
7766_109658_000022_000003	"My native hills!" she murmured, dreamily.	"My native hills!" she murmured, dreamily.
7766_109658_000022_000004	"See how the foliage drinks the sunlight from the hollows and dells."	"See how the foliage drinks the sunlight from the hollows and dells."
7766_109658_000023_000003	That is one portent reason for the change we are making.	That is one portent reason for the change we are making.
7766_109658_000024_000000	Mrs. Blaylock turned a glance of speaking tenderness upon the Colonel, fingered for a moment the silvery curl that drooped upon her bosom, then looked again toward the mountains.	mrs Blaylock turned a glance of speaking tenderness upon the Colonel, fingered for a moment the silvery curl that drooped upon her bosom, then looked again toward the mountains.
7766_109658_000028_000000	"That's great stuff, ma'am," said J. Pinkney Bloom, enthusiastically, when the poetess had concluded.	"That's great stuff, ma'am," said j Pinkney Bloom, enthusiastically, when the poetess had concluded.
7766_109658_000028_000001	"I wish I had looked up poetry more than I have.	"I wish I had looked up poetry more than I have.
7766_109658_000028_000002	I was raised in the pine hills myself."	I was raised in the pine hills myself."
7766_109658_000029_000000	"The mountains ever call to their children," murmured Mrs. Blaylock.	"The mountains ever call to their children," murmured mrs Blaylock.
7766_109658_000029_000002	Peyton--a little taste of the currant wine, if you will be so good.	Peyton-a little taste of the currant wine, if you will be so good.
7766_109658_000029_000003	The journey, though delightful in the extreme, slightly fatigues me." Colonel Blaylock again visited the depths of his prolific coat, and produced a tightly corked, rough, black bottle. Mr. Bloom was on his feet in an instant.	The journey, though delightful in the extreme, slightly fatigues me." Colonel Blaylock again visited the depths of his prolific coat, and produced a tightly corked, rough, black bottle. mr Bloom was on his feet in an instant.
7766_109658_000030_000000	"Let me bring a glass, ma'am.	"Let me bring a glass, ma'am.
7766_109658_000030_000001	You come along, Colonel--there's a little table we can bring, too.	You come along, Colonel-there's a little table we can bring, too.
7766_109658_000030_000002	Maybe we can scare up some fruit or a cup of tea on board.	Maybe we can scare up some fruit or a cup of tea on board.
7766_109658_000030_000003	I'll ask Mac."	I'll ask Mac."
7766_109658_000031_000000	Mrs. Blaylock reclined at ease.	mrs Blaylock reclined at ease.
7766_109658_000032_000000	It seemed (from the conversation of the Blaylocks) that the Springs was decadent.	It seemed (from the conversation of the Blaylocks) that the Springs was decadent.
7766_109658_000032_000001	A third of the population had moved away.	A third of the population had moved away.
7766_109658_000032_000002	Business--and the Colonel was an authority on business--had dwindled to nothing.	Business-and the Colonel was an authority on business-had dwindled to nothing.
7766_109658_000033_000002	I might give you a hunch as to whether you can make the game go or not."	I might give you a hunch as to whether you can make the game go or not."
7766_109658_000034_000001	They were so simple, impractical, and unsuspecting.	They were so simple, impractical, and unsuspecting.
7766_109658_000035_000000	"No, sir," said Colonel Blaylock, pausing to arrange the queen's wrap. "I did not invest in Okochee.	"No, sir," said Colonel Blaylock, pausing to arrange the queen's wrap. "I did not invest in Okochee.
7766_109658_000035_000003	The description was so pleasing, the future of the town set forth in such convincing arguments, and its increasing prosperity portrayed in such an attractive style that I decided to take advantage of the opportunity it offered.	The description was so pleasing, the future of the town set forth in such convincing arguments, and its increasing prosperity portrayed in such an attractive style that I decided to take advantage of the opportunity it offered.
7766_109658_000035_000004	I carefully selected a lot in the centre of the business district, although its price was the highest in the schedule--five hundred dollars--and made the purchase at once."	I carefully selected a lot in the centre of the business district, although its price was the highest in the schedule-five hundred dollars-and made the purchase at once."
7766_109658_000037_000001	I consider the purchase a most fortuitous one.	I consider the purchase a most fortuitous one.
7766_109658_000037_000002	It is my intention to erect a small building upon it at once, and open a modest book and stationery store.	It is my intention to erect a small building upon it at once, and open a modest book and stationery store.
7766_109658_000037_000006	Of course, Mrs. Blaylock would not personally serve behind the counter.	Of course, mrs Blaylock would not personally serve behind the counter.
7766_109658_000038_000000	Again followed that wonderful bow, as the Colonel lightly touched the pale cheek of the poetess.	Again followed that wonderful bow, as the Colonel lightly touched the pale cheek of the poetess.
7766_109658_000038_000001	Mrs. Blaylock, blushing like a girl, shook her curl and gave the Colonel an arch, reproving tap.	mrs Blaylock, blushing like a girl, shook her curl and gave the Colonel an arch, reproving tap.
7766_109658_000038_000002	Secret of eternal youth--where art thou?	Secret of eternal youth-where art thou?
7766_109658_000038_000003	Every second the answer comes--"Here, here, here." Listen to thine own heartbeats, O weary seeker after external miracles.	Every second the answer comes-"Here, here, here." Listen to thine own heartbeats, O weary seeker after external miracles.
7766_109658_000039_000000	"Those years," said Mrs. Blaylock, "in Holly Springs were long, long, long.	"Those years," said mrs Blaylock, "in Holly Springs were long, long, long.
7766_109658_000039_000002	Skyland!--a lovely name."	Skyland!--a lovely name."
7766_109658_000040_000000	"Doubtless," said the Colonel, "we shall be able to secure comfortable accommodations at some modest hotel at reasonable rates.	"Doubtless," said the Colonel, "we shall be able to secure comfortable accommodations at some modest hotel at reasonable rates.
7766_109658_000040_000001	Our trunks are in Okochee, to be forwarded when we shall have made permanent arrangements."	Our trunks are in Okochee, to be forwarded when we shall have made permanent arrangements."
7766_109658_000041_000000	J. Pinkney Bloom excused himself, went forward, and stood by the captain at the wheel.	J. Pinkney Bloom excused himself, went forward, and stood by the captain at the wheel.
7766_109658_000044_000001	Now, you see that old babe-in-the-wood over there? Well, he's the boy that drew the prize.	Now, you see that old babe in the wood over there? Well, he's the boy that drew the prize.
7766_109658_000044_000002	That was the only five-hundred-dollar lot that went.	That was the only five hundred dollar lot that went.
7766_109658_000044_000003	The rest ranged from ten dollars to two hundred.	The rest ranged from ten dollars to two hundred.
7766_109658_000044_000004	His wife writes poetry.	His wife writes poetry.
7766_109658_000046_000001	"And he thinks there's an open house up there."	"And he thinks there's an open house up there."
7766_109658_000047_000000	Captain MacFarland released the wheel long enough to give his leg a roguish slap.	Captain MacFarland released the wheel long enough to give his leg a roguish slap.
7766_109658_000048_000000	"You old fat rascal!" he chuckled, with a wink.	"You old fat rascal!" he chuckled, with a wink.
7766_109658_000049_000000	"Mac, you're a fool," said J. Pinkney Bloom, coldly.	"Mac, you're a fool," said j Pinkney Bloom, coldly.
7766_109658_000049_000001	He went back and joined the Blaylocks, where he sat, less talkative, with that straight furrow between his brows that always stood as a signal of schemes being shaped within.	He went back and joined the Blaylocks, where he sat, less talkative, with that straight furrow between his brows that always stood as a signal of schemes being shaped within.
7766_109658_000050_000000	"There's a good many swindles connected with these booms," he said presently.	"There's a good many swindles connected with these booms," he said presently.
7766_109658_000050_000001	"What if this Skyland should turn out to be one--that is, suppose business should be sort of dull there, and no special sale for books?"	"What if this Skyland should turn out to be one-that is, suppose business should be sort of dull there, and no special sale for books?"
7766_109658_000051_000001	If I have been deceived again, still we may glean health and content, if not worldly profit.	If I have been deceived again, still we may glean health and content, if not worldly profit.
7766_109658_000051_000003	My dear, can you recall those verses entitled 'He Giveth the Increase,' that you composed for the choir of our church in Holly Springs?"	My dear, can you recall those verses entitled 'He Giveth the Increase,' that you composed for the choir of our church in Holly Springs?"
7766_109658_000055_000002	They were written to the music composed by a dear friend."	They were written to the music composed by a dear friend."
7766_109658_000056_000000	"It's a fine rhyme, just the same," declared Mr. Bloom.	"It's a fine rhyme, just the same," declared mr Bloom.
7766_109658_000056_000001	"It seems to ring the bell, all right.	"It seems to ring the bell, all right.
7766_109658_000057_000000	Mr. Bloom strayed thoughtfully back to the captain, and stood meditating.	mr Bloom strayed thoughtfully back to the captain, and stood meditating.
7766_109658_000059_000000	"Go to the devil," said Mr. Bloom, still pensive.	"Go to the devil," said mr Bloom, still pensive.
7766_109658_000060_000001	That was Cold Branch--no boom town, but the slow growth of many years.	That was Cold Branch-no boom town, but the slow growth of many years.
7766_109658_000060_000002	Cold Branch lay on the edge of the grape and corn lands.	Cold Branch lay on the edge of the grape and corn lands.
7766_109658_000060_000003	The big country road ran just back of the heights.	The big country road ran just back of the heights.
7766_109658_000060_000004	Cold Branch had nothing in common with the frisky ambition of Okochee with its impertinent lake.	Cold Branch had nothing in common with the frisky ambition of Okochee with its impertinent lake.
7766_109658_000061_000000	"Mac," said J. Pinkney suddenly, "I want you to stop at Cold Branch. There's a landing there that they made to use sometimes when the river was up."	"Mac," said j Pinkney suddenly, "I want you to stop at Cold Branch. There's a landing there that they made to use sometimes when the river was up."
7766_109658_000062_000001	"I've got the United States mails on board.	"I've got the United States mails on board.
7766_109658_000062_000002	Right to-day this boat's in the government service.	Right to day this boat's in the government service.
7766_109658_000062_000004	And the great city of Skyland, all disconsolate, waiting for its mail?	And the great city of Skyland, all disconsolate, waiting for its mail?
7766_109658_000062_000005	I'm ashamed of your extravagance, J. P."	I'm ashamed of your extravagance, j p"
7766_109658_000063_000004	I hate to mention these things, but--"	I hate to mention these things, but-"
7766_109658_000064_000000	"Oh, come now, J. P.," said the captain.	"Oh, come now, j p," said the captain.
7766_109658_000064_000001	"You know I was just fooling. I'll put you off at Cold Branch, if you say so."	"You know I was just fooling. I'll put you off at Cold Branch, if you say so."
7766_109658_000065_000000	"The other passengers get off there, too," said Mr. Bloom.	"The other passengers get off there, too," said mr Bloom.
7766_109658_000067_000002	Finally they entered the village of Cold Branch. Warmly both the Colonel and his wife praised it for its homelike and peaceful beauty.	Finally they entered the village of Cold Branch. Warmly both the Colonel and his wife praised it for its homelike and peaceful beauty.
7766_109658_000068_000000	J. Pinkney Bloom walked down Cold Branch's main street.	J. Pinkney Bloom walked down Cold Branch's main street.
7766_109658_000069_000000	"Get your hat, son," said Mr. Bloom, in his breezy way, "and a blank deed, and come along.	"Get your hat, son," said mr Bloom, in his breezy way, "and a blank deed, and come along.
7766_109658_000069_000001	It's a job for you."	It's a job for you."
7766_109658_000070_000000	"Now," he continued, when Mr. Cooly had responded with alacrity, "is there a bookstore in town?"	"Now," he continued, when mr Cooly had responded with alacrity, "is there a bookstore in town?"
7766_109658_000071_000000	"One," said the lawyer.	"One," said the lawyer.
7766_109658_000072_000000	"Get there," said Mr. Bloom.	"Get there," said mr Bloom.
7766_109658_000072_000001	"We're going to buy it."	"We're going to buy it."
7766_109658_000073_000000	Henry Williams was behind his counter.	Henry Williams was behind his counter.
7766_109658_000073_000001	His store was a small one, containing a mixture of books, stationery, and fancy rubbish.	His store was a small one, containing a mixture of books, stationery, and fancy rubbish.
7766_109658_000073_000002	Adjoining it was Henry's home--a decent cottage, vine-embowered and cosy.	Adjoining it was Henry's home-a decent cottage, vine embowered and cosy.
7766_109658_000073_000003	Henry was lank and soporific, and not inclined to rush his business.	Henry was lank and soporific, and not inclined to rush his business.
7766_109658_000074_000000	"I want to buy your house and store," said Mr. Bloom.	"I want to buy your house and store," said mr Bloom.
7766_109658_000074_000001	"I haven't got time to dicker--name your price."	"I haven't got time to dicker-name your price."
7766_109658_000075_000000	"It's worth eight hundred," said Henry, too much dazed to ask more than its value.	"It's worth eight hundred," said Henry, too much dazed to ask more than its value.
7766_109658_000076_000000	"Shut that door," said Mr. Bloom to the lawyer.	"Shut that door," said mr Bloom to the lawyer.
7766_109658_000076_000001	Then he tore off his coat and vest, and began to unbutton his shirt.	Then he tore off his coat and vest, and began to unbutton his shirt.
7766_109658_000077_000001	"All right, hunky--sail in and cut yer capers."	"All right, hunky-sail in and cut yer capers."
7766_109658_000078_000000	"Keep your clothes on," said Mr. Bloom.	"Keep your clothes on," said mr Bloom.
7766_109658_000078_000001	"I'm only going down to the bank."	"I'm only going down to the bank."
7766_109658_000079_000000	He drew eight one-hundred-dollar bills from his money belt and planked them down on the counter.	He drew eight one hundred dollar bills from his money belt and planked them down on the counter.
7766_109658_000079_000001	Mr. Cooly showed signs of future promise, for he already had the deed spread out, and was reaching across the counter for the ink bottle.	mr Cooly showed signs of future promise, for he already had the deed spread out, and was reaching across the counter for the ink bottle.
7766_109658_000079_000002	Never before or since was such quick action had in Cold Branch.	Never before or since was such quick action had in Cold Branch.
7766_109658_000081_000000	"Make it out to Peyton Blaylock," said Mr. Bloom.	"Make it out to Peyton Blaylock," said mr Bloom.
7766_109658_000083_000000	"You'll find the party at the Pinetop Inn," said J. Pinkney Bloom.	"You'll find the party at the Pinetop Inn," said j Pinkney Bloom.
7766_109658_000083_000001	"Get it recorded, and take it down and give it to him.	"Get it recorded, and take it down and give it to him.
