5126_36956_000003_000000	CHAPTER II.	CHAPTER two.
5126_36956_000015_000000	Mr. Lord patted him on the head, gave him two large sticks of candy, and, what was more kind and surprising, considering the fact that he wore glasses, and was cross-eyed, he winked at Toby.	mr Lord patted him on the head, gave him two large sticks of candy, and, what was more kind and surprising, considering the fact that he wore glasses, and was cross eyed, he winked at Toby.
5126_36956_000015_000001	A wink from Mr. Lord must have been intended to convey a great deal, because, owing to the defect in his eyes, it required no little exertion, and even then could not be considered as a really first-class wink.	A wink from mr Lord must have been intended to convey a great deal, because, owing to the defect in his eyes, it required no little exertion, and even then could not be considered as a really first-class wink.
5126_36956_000016_000000	That wink, distorted as it was, gladdened Toby's heart immensely, and took away nearly all the sting of the scolding with which Uncle Daniel greeted him when he reached home.	That wink, distorted as it was, gladdened Toby's heart immensely, and took away nearly all the sting of the scolding with which Uncle Daniel greeted him when he reached home.
5126_36956_000017_000002	Just then one or two kind words would have prevented him from running away, bright as the prospect of circus life appeared.	Just then one or two kind words would have prevented him from running away, bright as the prospect of circus life appeared.
5126_36956_000018_000000	It was almost impossible for him to eat anything, and this very surprising state of affairs attracted the attention of Uncle Daniel.	It was almost impossible for him to eat anything, and this very surprising state of affairs attracted the attention of Uncle Daniel.
5126_36956_000019_000000	"Bless my heart! what ails the boy?" asked the old man, as he peered over his glasses at Toby's well-filled plate, which was usually emptied so quickly.	"Bless my heart! what ails the boy?" asked the old man, as he peered over his glasses at Toby's well filled plate, which was usually emptied so quickly.
5126_36956_000022_000000	Toby thought of the six pea-nuts which he had bought with the penny Uncle Daniel had given him; and, amid all his homesickness, he could not help wondering if Uncle Daniel ever made himself sick with only six pea-nuts when he was a boy.	Toby thought of the six pea nuts which he had bought with the penny Uncle Daniel had given him; and, amid all his homesickness, he could not help wondering if Uncle Daniel ever made himself sick with only six pea nuts when he was a boy.
5126_36956_000023_000000	As no one paid any further attention to Toby, he pushed back his plate, arose from the table, and went with a heavy heart to attend to his regular evening chores.	As no one paid any further attention to Toby, he pushed back his plate, arose from the table, and went with a heavy heart to attend to his regular evening chores.
5126_36956_000023_000001	The cow, the hens, and even the pigs, came in for a share of his unusually kind attention; and as he fed them all the big tears rolled down his cheeks, as he thought that perhaps never again would he see any of them.	The cow, the hens, and even the pigs, came in for a share of his unusually kind attention; and as he fed them all the big tears rolled down his cheeks, as he thought that perhaps never again would he see any of them.
5126_36956_000023_000002	These dumb animals had all been Toby's confidants; he had poured out his griefs in their ears, and fancied, when the world or Uncle Daniel had used him unusually hard, that they sympathized with him.	These dumb animals had all been Toby's confidants; he had poured out his griefs in their ears, and fancied, when the world or Uncle Daniel had used him unusually hard, that they sympathized with him.
5126_36956_000023_000003	Now he was leaving them forever, and as he locked the stable door he could hear the sounds of music coming from the direction of the circus grounds, and he was angry at it, because it represented that which was taking him away from his home, even though it was not as pleasant as it might have been.	Now he was leaving them forever, and as he locked the stable door he could hear the sounds of music coming from the direction of the circus grounds, and he was angry at it, because it represented that which was taking him away from his home, even though it was not as pleasant as it might have been.
5126_36956_000025_000000	Mr. Lord saw him as soon as he arrived on the grounds, and as he passed another ticket to Toby he took his bundle from him, saying, as he did so, "I'll pack up your bundle with my things, and then you'll be sure not to lose it.	mr Lord saw him as soon as he arrived on the grounds, and as he passed another ticket to Toby he took his bundle from him, saying, as he did so, "I'll pack up your bundle with my things, and then you'll be sure not to lose it.
5126_36956_000025_000001	Don't you want some candy?"	Don't you want some candy?"
5126_36956_000026_000000	Toby shook his head; he had just discovered that there was possibly some connection between his heart and his stomach, for his grief at leaving home had taken from him all desire for good things.	Toby shook his head; he had just discovered that there was possibly some connection between his heart and his stomach, for his grief at leaving home had taken from him all desire for good things.
5126_36956_000026_000001	It is also more than possible that Mr. Lord had had experience enough with boys to know that they might be homesick on the eve of starting to travel with a circus; and in order to make sure that Toby would keep to his engagement he was unusually kind.	It is also more than possible that mr Lord had had experience enough with boys to know that they might be homesick on the eve of starting to travel with a circus; and in order to make sure that Toby would keep to his engagement he was unusually kind.
5126_36956_000027_000000	That evening was the longest Toby ever knew.	That evening was the longest Toby ever knew.
5126_36956_000027_000002	The performance failed to interest him, and the animals did not attract until he had visited the monkey-cage for the third or fourth time.	The performance failed to interest him, and the animals did not attract until he had visited the monkey cage for the third or fourth time.
5126_36956_000027_000003	Then he fancied that the same venerable monkey who had looked so knowing in the afternoon was gazing at him with a sadness which could only have come from a thorough knowledge of all the grief and doubt that was in his heart.	Then he fancied that the same venerable monkey who had looked so knowing in the afternoon was gazing at him with a sadness which could only have come from a thorough knowledge of all the grief and doubt that was in his heart.
5126_36956_000028_000000	There was no one around the cages, and Toby got just as near to the iron bars as possible.	There was no one around the cages, and Toby got just as near to the iron bars as possible.
5126_36956_000028_000001	No sooner had he flattened his little pug-nose against the iron than the aged monkey came down from the ring in which he had been swinging, and, seating himself directly in front of Toby's face, looked at him most compassionately.	No sooner had he flattened his little pug nose against the iron than the aged monkey came down from the ring in which he had been swinging, and, seating himself directly in front of Toby's face, looked at him most compassionately.
5126_36956_000029_000000	It would not have surprised the boy just then if the animal had spoken; but as he did not, Toby did the next best thing, and spoke to him.	It would not have surprised the boy just then if the animal had spoken; but as he did not, Toby did the next best thing, and spoke to him.
5126_36956_000038_000000	At this moment Toby saw Mr. Lord enter the tent, and he knew that the summons to start was about to be given.	At this moment Toby saw mr Lord enter the tent, and he knew that the summons to start was about to be given.
