3380_64300_000001_000000	CHAPTER LV.	CHAPTER fifty five.
3380_64300_000022_000002	For there was little love in the attentions the Mortimers paid him; and in what other hope could Hesper have married, than that one day she would be free, with a freedom informed with power, the power of money!	For there was little love in the attentions the Mortimers paid him; and in what other hope could Hesper have married, than that one day she would be free, with a freedom informed with power, the power of money!
3380_64300_000022_000003	But to the mother's suggestions as to possible changes in the future, the daughter never responded: she had no thought of plans in common with her.	But to the mother's suggestions as to possible changes in the future, the daughter never responded: she had no thought of plans in common with her.
3380_64300_000023_000000	Strange rumors came abroad.	Strange rumors came abroad.
3380_64300_000023_000002	There was a conspiracy in that house to ruin the character of the loveliest woman in creation!	There was a conspiracy in that house to ruin the character of the loveliest woman in creation!
3380_64300_000023_000003	But when a week after week passed, and he heard nothing of or from her, he became anxious, and at last lowered his pride so far as to call on Mary, under the pretense of buying something in the shop.	But when a week after week passed, and he heard nothing of or from her, he became anxious, and at last lowered his pride so far as to call on Mary, under the pretense of buying something in the shop.
3380_64300_000024_000000	His troubled look filled her with sympathy, but she could not help being glad afresh that he had escaped the snares laid for him.	His troubled look filled her with sympathy, but she could not help being glad afresh that he had escaped the snares laid for him.
3380_64300_000024_000001	He looked at her searchingly, and at last murmured a request that she would allow him to have a little conversation with her.	He looked at her searchingly, and at last murmured a request that she would allow him to have a little conversation with her.
3380_64300_000025_000000	She led the way to her parlor, closed the door, and asked him to take a seat.	She led the way to her parlor, closed the door, and asked him to take a seat.
3380_64300_000025_000001	But Godfrey was too proud or too agitated to sit.	But Godfrey was too proud or too agitated to sit.
3380_64300_000026_000000	"You will be surprised to see me on such an errand, Miss Marston!" he said.	"You will be surprised to see me on such an errand, Miss Marston!" he said.
3380_64300_000027_000000	"I do not yet know your errand," replied Mary; "but I may not be so much surprised as you think."	"I do not yet know your errand," replied Mary; "but I may not be so much surprised as you think."
3380_64300_000028_000000	"Do not imagine," said Godfrey, stiffly, "that I believe a word of the contemptible reports in circulation.	"Do not imagine," said Godfrey, stiffly, "that I believe a word of the contemptible reports in circulation.
3380_64300_000028_000001	I come only to ask you to tell me the real nature of the accusations brought against Miss Yolland: your name is, of course, coupled with them."	I come only to ask you to tell me the real nature of the accusations brought against Miss Yolland: your name is, of course, coupled with them."
3380_64300_000029_000001	As it is, allow me to refer you to Mr. Brett, the lawyer, whom I dare say you know."	As it is, allow me to refer you to mr Brett, the lawyer, whom I dare say you know."
3380_64300_000031_000000	Some time after, it came out that the same night on which the presence of Joseph rescued Mary from her pursuer, a man speaking with a foreign accent went to one of the surgeons in Testbridge to have his shoulder set, which he said had been dislocated by a fall.	Some time after, it came out that the same night on which the presence of Joseph rescued Mary from her pursuer, a man speaking with a foreign accent went to one of the surgeons in Testbridge to have his shoulder set, which he said had been dislocated by a fall.
3380_64300_000031_000001	When Joseph heard it, he smiled, and thought he knew what it meant.	When Joseph heard it, he smiled, and thought he knew what it meant.
3380_64300_000032_000000	Hesper was no sooner in London, than she wrote to Mary, inviting her to go and visit her.	Hesper was no sooner in London, than she wrote to Mary, inviting her to go and visit her.
3380_64300_000032_000001	But Mary answered she could no more leave home, and must content herself with the hope of seeing Mrs. Redmain when she came to Durnmelling.	But Mary answered she could no more leave home, and must content herself with the hope of seeing mrs Redmain when she came to Durnmelling.
3380_64300_000033_000001	But they never had any more talk about the things Mary loved most.	But they never had any more talk about the things Mary loved most.
3380_64300_000033_000002	That he continued to think of those things, she had one ground of hoping, namely, the kindness with which he invariably received her, and the altogether gentler manner he wore as often and as long as she saw him.	That he continued to think of those things, she had one ground of hoping, namely, the kindness with which he invariably received her, and the altogether gentler manner he wore as often and as long as she saw him.
3380_64300_000033_000003	Whether the change was caused by something better than physical decay, who knows save him who can use even decay for redemption?	Whether the change was caused by something better than physical decay, who knows save him who can use even decay for redemption?
3380_64300_000033_000004	He lived two years more, and died rather suddenly.	He lived two years more, and died rather suddenly.
3380_64300_000035_000001	He grew a rich man, and died happy--so his friends said, and said as they saw.	He grew a rich man, and died happy-so his friends said, and said as they saw.
3380_64300_000037_000000	Letty was diligent in business, but it never got into her heart.	Letty was diligent in business, but it never got into her heart.
3380_64300_000037_000001	She continued to be much liked, and in the shop was delightful.	She continued to be much liked, and in the shop was delightful.
3380_64300_000038_000000	After a year or so, Mrs. Wardour began to take a little notice of her again; but she never asked her to Thornwick until she found herself dying.	After a year or so, mrs Wardour began to take a little notice of her again; but she never asked her to Thornwick until she found herself dying.
3380_64300_000038_000001	Perhaps she then remembered a certain petition in the Lord's prayer.	Perhaps she then remembered a certain petition in the Lord's prayer.
3380_64300_000038_000002	But will it not be rather a dreadful thing for some people if they are forgiven as they forgive?	But will it not be rather a dreadful thing for some people if they are forgiven as they forgive?
3380_64300_000039_000000	Old Mr. Duppa died, and a young man came to minister to his congregation who thought the baptism of the spirit of more importance than the most correct of opinions concerning even the baptizing spirit. From him Mary found she could learn, and would be much to blame if she did not learn.	Old mr Duppa died, and a young man came to minister to his congregation who thought the baptism of the spirit of more importance than the most correct of opinions concerning even the baptizing spirit. From him Mary found she could learn, and would be much to blame if she did not learn.
3380_64300_000039_000001	From him Letty also heard what increased her desire to be worth something before she went to rejoin Tom.	From him Letty also heard what increased her desire to be worth something before she went to rejoin Tom.
3380_64300_000040_000000	Joseph Jasper became once more Mary's pupil.	Joseph Jasper became once more Mary's pupil.
3380_64300_000040_000001	She was now no more content with her little cottage piano, but had an instrument of quite another capacity on which to accompany the violin of the blacksmith.	She was now no more content with her little cottage piano, but had an instrument of quite another capacity on which to accompany the violin of the blacksmith.
3380_64300_000041_000000	To him trade came in steadily, and before long he had to build a larger shoeing-shed.	To him trade came in steadily, and before long he had to build a larger shoeing shed.
3380_64300_000041_000002	He soon found it necessary to make arrangement with a carpenter and wheelwright to work on his premises.	He soon found it necessary to make arrangement with a carpenter and wheelwright to work on his premises.
3380_64300_000041_000003	Before two years were over, he was what people call a flourishing man, and laying by a little money.	Before two years were over, he was what people call a flourishing man, and laying by a little money.
3380_64300_000042_000000	"But," he said to Mary, "I can't go on like this, you know, miss.	"But," he said to Mary, "I can't go on like this, you know, miss.
3380_64300_000042_000001	I don't want money.	I don't want money.
