6895_92806_000000_000000	"Why," said I, bewildered, "that man is a citizen of the world--a cosmopolite.	"Why," said I, bewildered, "that man is a citizen of the world-a cosmopolite.	false	0	4.8	19.920143
6895_92806_000013_000000	Mr. McCaskey was no novice at repartee.	mr McCaskey was no novice at repartee.	true	166.37	169.39	17
6895_92806_000013_000001	He knew what should follow the entree.	He knew what should follow the entree.	true	169.43	171.55	21
6895_92806_000013_000002	On the table was a roast sirloin of pork, garnished with shamrocks.	On the table was a roast sirloin of pork, garnished with shamrocks.	true	171.8	176.32	22.110634
6895_92806_000013_000003	He retorted with this, and drew the appropriate return of a bread pudding in an earthen dish.	He retorted with this, and drew the appropriate return of a bread pudding in an earthen dish.	false	176.39	181.78	19
6895_92806_000013_000004	A hunk of Swiss cheese accurately thrown by her husband struck Mrs. McCaskey below one eye.	A hunk of Swiss cheese accurately thrown by her husband struck mrs McCaskey below one eye.	true	181.88	187.62	18
6895_92806_000013_000005	When she replied with a well-aimed coffee-pot full of a hot, black, semi-fragrant liquid the battle, according to courses, should have ended.	When she replied with a well aimed coffee pot full of a hot, black, semi fragrant liquid the battle, according to courses, should have ended.	false	187.62	196.81	23.272276
6895_92806_000014_000000	But Mr. McCaskey was no 50-cent _table d'hoter_.	But mr McCaskey was no fifty-cent underscore table d'hoter underscore.	false	196.97	200.34	16
6895_92806_000014_000001	Let cheap Bohemians consider coffee the end, if they would.	Let cheap Bohemians consider coffee the end, if they would.	true	200.34	203.97	20
6895_92806_000014_000002	Let them make that _faux pas_. He was foxier still.	Let them make that underscore faux pas underscore. He was foxier still.	false	203.97	207.34	25.122372
6895_92806_000014_000003	Finger-bowls were not beyond the compass of his experience.	Finger bowls were not beyond the compass of his experience.	true	207.47	210.79	21
6895_92806_000014_000004	They were not to be had in the Pension Murphy; but their equivalent was at hand.	They were not to be had in the Pension Murphy; but their equivalent was at hand.	true	210.8	215.29	21.891672
6895_92806_000014_000005	Triumphantly he sent the granite-ware wash basin at the head of his matrimonial adversary.	Triumphantly he sent the granite ware wash basin at the head of his matrimonial adversary.	true	215.39	220.93	15
6895_92806_000014_000006	Mrs. McCaskey dodged in time.	mrs McCaskey dodged in time.	true	221.18	223.38	20
6895_92806_000014_000007	She reached for a flatiron, with which, as a sort of cordial, she hoped to bring the gastronomical duel to a close.	She reached for a flatiron, with which, as a sort of cordial, she hoped to bring the gastronomical duel to a close.	true	223.38	230.47	17
6895_92806_000014_000008	But a loud, wailing scream downstairs caused both her and Mr. McCaskey to pause in a sort of involuntary armistice.	But a loud, wailing scream downstairs caused both her and mr McCaskey to pause in a sort of involuntary armistice.	true	230.48	238.51	20
6895_92806_000015_000000	On the sidewalk at the corner of the house Policeman Cleary was standing with one ear upturned, listening to the crash of household utensils.	On the sidewalk at the corner of the house Policeman Cleary was standing with one ear upturned, listening to the crash of household utensils.	true	239.06	246.9	19
6895_92806_000016_000000	"'Tis Jawn McCaskey and his missis at it again," meditated the policeman.	"'tis Jawn McCaskey and his missis at it again," meditated the policeman.	false	246.9	251.92	21
6895_92806_000016_000001	"I wonder shall I go up and stop the row.	"I wonder shall I go up and stop the row.	false	251.96	254.43	21
6895_92806_000016_000002	I will not.	I will not.	true	254.43	255.225	24.354841
6895_92806_000016_000003	Married folks they are; and few pleasures they have.	Married folks they are; and few pleasures they have.	true	255.225	258.225	22.030102
6895_92806_000016_000004	'Twill not last long.	'Twill not last long.	true	258.225	259.635	23
6895_92806_000016_000005	Sure, they'll have to borrow more dishes to keep it up with."	Sure, they'll have to borrow more dishes to keep it up with."	true	259.635	262.57	21.6418
6895_92806_000017_000000	And just then came the loud scream below-stairs, betokening fear or dire extremity.	And just then came the loud scream below stairs, betokening fear or dire extremity.	true	262.73	268.57	14
6895_92806_000017_000001	"'Tis probably the cat," said Policeman Cleary, and walked hastily in the other direction.	"'tis probably the cat," said Policeman Cleary, and walked hastily in the other direction.	true	268.7	273.46	21.085089
6895_92806_000018_000000	The boarders on the steps were fluttered.	The boarders on the steps were fluttered.	true	273.77	275.925	19.272833
6895_92806_000018_000001	Mr. Toomey, an insurance solicitor by birth and an investigator by profession, went inside to analyse the scream.	mr Toomey, an insurance solicitor by birth and an investigator by profession, went inside to analyse the scream.	true	275.925	283.3	15
6895_92806_000018_000002	He returned with the news that Mrs. Murphy's little boy, Mike, was lost.	He returned with the news that mrs Murphy's little boy, Mike, was lost.	true	283.43	287.8	16
6895_92806_000018_000003	Following the messenger, out bounced Mrs. Murphy--two hundred pounds in tears and hysterics, clutching the air and howling to the sky for the loss of thirty pounds of freckles and mischief.	Following the messenger, out bounced mrs Murphy-two hundred pounds in tears and hysterics, clutching the air and howling to the sky for the loss of thirty pounds of freckles and mischief.	true	288.02	298.9	19.533283
6895_92806_000018_000004	Bathos, truly; but Mr. Toomey sat down at the side of Miss Purdy, millinery, and their hands came together in sympathy.	Bathos, truly; but mr Toomey sat down at the side of Miss Purdy, millinery, and their hands came together in sympathy.	true	299.09	307.06	22.14864
6895_92806_000018_000005	The two old maids, Misses Walsh, who complained every day about the noise in the halls, inquired immediately if anybody had looked behind the clock.	The two old maids, Misses Walsh, who complained every day about the noise in the halls, inquired immediately if anybody had looked behind the clock.	true	307.22	315.79	21
6895_92806_000019_000000	Major Grigg, who sat by his fat wife on the top step, arose and buttoned his coat.	Major Grigg, who sat by his fat wife on the top step, arose and buttoned his coat.	true	316.16	321.585	22
6895_92806_000019_000001	"The little one lost?" he exclaimed.	"The little one lost?" he exclaimed.	true	321.585	323.58	15
6895_92806_000019_000002	"I will scour the city." His wife never allowed him out after dark.	"I will scour the city." His wife never allowed him out after dark.	true	323.58	327.885	22.19918
6895_92806_000019_000003	But now she said: "Go, Ludovic!" in a baritone voice.	But now she said: "Go, Ludovic!" in a baritone voice.	true	327.885	331.95	18.979654
6895_92806_000019_000004	"Whoever can look upon that mother's grief without springing to her relief has a heart of stone." "Give me some thirty or--sixty cents, my love," said the Major.	"Whoever can look upon that mother's grief without springing to her relief has a heart of stone." "Give me some thirty or-sixty cents, my love," said the Major.	true	331.95	341.29	17
6895_92806_000019_000005	"Lost children sometimes stray far.	"Lost children sometimes stray far.	true	341.3	343.66	18.115318
6895_92806_000019_000006	I may need carfares."	I may need carfares."	true	343.73	345.31	24.401318
6895_92806_000020_000000	Old man Denny, hall room, fourth floor back, who sat on the lowest step, trying to read a paper by the street lamp, turned over a page to follow up the article about the carpenters' strike.	Old man Denny, hall room, fourth floor back, who sat on the lowest step, trying to read a paper by the street lamp, turned over a page to follow up the article about the carpenters' strike.	true	345.71	356.47	19.985138
6895_92806_000020_000001	Mrs. Murphy shrieked to the moon: "Oh, ar-r-Mike, f'r Gawd's sake, where is me little bit av a boy?"	mrs Murphy shrieked to the moon: "Oh, ar r Mike, f'r Gawd's sake, where is me little bit av a boy?"	false	356.57	363.57	19.636866
6895_92806_000021_000000	"When'd ye see him last?" asked old man Denny, with one eye on the report of the Building Trades League.	"When'd ye see him last?" asked old man Denny, with one eye on the report of the Building Trades League.	false	363.57	369.58	20.583532
6895_92806_000022_000000	"Oh," wailed Mrs. Murphy, "'twas yisterday, or maybe four hours ago! I dunno.	"Oh," wailed mrs Murphy, "'twas yisterday, or maybe four hours ago! I dunno.	true	369.92	374.68	19
6895_92806_000022_000001	But it's lost he is, me little boy Mike.	But it's lost he is, me little boy Mike.	true	375.02	377.76	23
6895_92806_000022_000002	He was playin' on the sidewalk only this mornin'--or was it Wednesday?	He was playin' on the sidewalk only this mornin'--or was it Wednesday?	true	377.76	381.46	15
6895_92806_000022_000003	I'm that busy with work, 'tis hard to keep up with dates.	I'm that busy with work, 'tis hard to keep up with dates.	false	381.74	384.97	23
6895_92806_000022_000004	But I've looked the house over from top to cellar, and it's gone he is.	But I've looked the house over from top to cellar, and it's gone he is.	true	385.01	388.75	20
6895_92806_000022_000005	Oh, for the love av Hiven--"	Oh, for the love av Hiven-"	false	388.91	390.9	17.682392
6895_92806_000023_000000	Silent, grim, colossal, the big city has ever stood against its revilers.	Silent, grim, colossal, the big city has ever stood against its revilers.	true	390.9	395.68	18
6895_92806_000023_000001	They call it hard as iron; they say that no pulse of pity beats in its bosom; they compare its streets with lonely forests and deserts of lava.	They call it hard as iron; they say that no pulse of pity beats in its bosom; they compare its streets with lonely forests and deserts of lava.	true	396.02	405.64	21.308086
6895_92806_000023_000002	But beneath the hard crust of the lobster is found a delectable and luscious food.	But beneath the hard crust of the lobster is found a delectable and luscious food.	true	405.68	410.1	20
6895_92806_000023_000003	Perhaps a different simile would have been wiser.	Perhaps a different simile would have been wiser.	false	410.1	412.62	15
6895_92806_000023_000004	Still, nobody should take offence.	Still, nobody should take offence.	true	412.62	415.18	16.77766
6895_92806_000023_000005	We would call no one a lobster without good and sufficient claws.	We would call no one a lobster without good and sufficient claws.	false	415.19	419.17	23
6895_92806_000024_000000	No calamity so touches the common heart of humanity as does the straying of a little child.	No calamity so touches the common heart of humanity as does the straying of a little child.	true	419.39	424.72	14
6895_92806_000024_000001	Their feet are so uncertain and feeble; the ways are so steep and strange.	Their feet are so uncertain and feeble; the ways are so steep and strange.	true	424.85	429.91	18
6895_92806_000025_000000	Major Griggs hurried down to the corner, and up the avenue into Billy's place.	Major Griggs hurried down to the corner, and up the avenue into Billy's place.	true	430.16	434.65	18
6895_92806_000025_000001	"Gimme a rye-high," he said to the servitor.	"Gimme a rye high," he said to the servitor.	true	434.93	437.47	18
6895_92806_000025_000002	"Haven't seen a bow-legged, dirty-faced little devil of a six-year-old lost kid around here anywhere, have you?"	"Haven't seen a bow legged, dirty faced little devil of a six year old lost kid around here anywhere, have you?"	true	437.54	443.02	11
6895_92806_000026_000000	Mr. Toomey retained Miss Purdy's hand on the steps.	mr Toomey retained Miss Purdy's hand on the steps.	false	443.3	446.68	21
6895_92806_000026_000001	"Think of that dear little babe," said Miss Purdy, "lost from his mother's side--perhaps already fallen beneath the iron hoofs of galloping steeds--oh, isn't it dreadful?"	"Think of that dear little babe," said Miss Purdy, "lost from his mother's side-perhaps already fallen beneath the iron hoofs of galloping steeds-oh, isn't it dreadful?"	false	446.9	457.29	21
6895_92806_000027_000000	"Ain't that right?" agreed Mr. Toomey, squeezing her hand.	"Ain't that right?" agreed mr Toomey, squeezing her hand.	false	457.29	460.69	22
6895_92806_000027_000001	"Say I start out and help look for um!"	"Say I start out and help look for um!"	false	460.76	463.14	25.13996
6895_92806_000028_000000	"Perhaps," said Miss Purdy, "you should.	"Perhaps," said Miss Purdy, "you should.	true	463.14	465.64	22.99156
6895_92806_000028_000001	But, oh, Mr. Toomey, you are so dashing--so reckless--suppose in your enthusiasm some accident should befall you, then what--"	But, oh, mr Toomey, you are so dashing-so reckless-suppose in your enthusiasm some accident should befall you, then what-"	true	465.77	474.25	19
6895_92806_000029_000000	Old man Denny read on about the arbitration agreement, with one finger on the lines.	Old man Denny read on about the arbitration agreement, with one finger on the lines.	true	474.74	479.77	16
6895_92806_000030_000000	In the second floor front Mr. and Mrs. McCaskey came to the window to recover their second wind.	In the second floor front mr and mrs McCaskey came to the window to recover their second wind.	false	480.14	485.35	15
6895_92806_000030_000001	Mr. McCaskey was scooping turnips out of his vest with a crooked forefinger, and his lady was wiping an eye that the salt of the roast pork had not benefited.	mr McCaskey was scooping turnips out of his vest with a crooked forefinger, and his lady was wiping an eye that the salt of the roast pork had not benefited.	true	485.69	494.71	18
6895_92806_000030_000002	They heard the outcry below, and thrust their heads out of the window.	They heard the outcry below, and thrust their heads out of the window.	false	494.9	498.54	20
6895_92806_000031_000000	"'Tis little Mike is lost," said Mrs. McCaskey, in a hushed voice, "the beautiful, little, trouble-making angel of a gossoon!"	"'tis little Mike is lost," said mrs McCaskey, in a hushed voice, "the beautiful, little, trouble making angel of a gossoon!"	false	498.54	507.03	20.454453
6895_92806_000032_000000	"The bit of a boy mislaid?" said Mr. McCaskey, leaning out of the window.	"The bit of a boy mislaid?" said mr McCaskey, leaning out of the window.	false	507.03	511.42	17
6895_92806_000032_000001	"Why, now, that's bad enough, entirely.	"Why, now, that's bad enough, entirely.	true	511.55	514.06	17
6895_92806_000032_000002	The childer, they be different.	The childer, they be different.	false	514.1	515.82	18.112337
6895_92806_000032_000003	If 'twas a woman I'd be willin', for they leave peace behind 'em when they go."	If 'twas a woman I'd be willin', for they leave peace behind 'em when they go."	false	515.82	519.97	16
6895_92806_000033_000000	Disregarding the thrust, Mrs. McCaskey caught her husband's arm.	Disregarding the thrust, mrs McCaskey caught her husband's arm.	true	520.31	524.29	19
6895_92806_000034_000000	"Jawn," she said, sentimentally, "Missis Murphy's little bye is lost. 'Tis a great city for losing little boys.	"Jawn," she said, sentimentally, "Missis Murphy's little bye is lost. 'tis a great city for losing little boys.	false	524.33	531.135	16
6895_92806_000034_000001	Six years old he was.	Six years old he was.	false	531.135	533.13	22.6878
6895_92806_000034_000002	Jawn, 'tis the same age our little bye would have been if we had had one six years ago."	Jawn, 'tis the same age our little bye would have been if we had had one six years ago."	false	533.13	537.58	14
6895_92806_000035_000000	"We never did," said Mr. McCaskey, lingering with the fact.	"We never did," said mr McCaskey, lingering with the fact.	true	537.71	541.03	18
6895_92806_000036_000000	"But if we had, Jawn, think what sorrow would be in our hearts this night, with our little Phelan run away and stolen in the city nowheres at all."	"But if we had, Jawn, think what sorrow would be in our hearts this night, with our little Phelan run away and stolen in the city nowheres at all."	false	541.16	549.33	13
6895_92806_000037_000000	"Ye talk foolishness," said Mr. McCaskey.	"Ye talk foolishness," said mr McCaskey.	false	549.33	552.31	23.67272
6895_92806_000037_000001	"'Tis Pat he would be named, after me old father in Cantrim."	"'tis Pat he would be named, after me old father in Cantrim."	true	552.41	556.36	21
6895_92806_000038_000000	"Ye lie!" said Mrs. McCaskey, without anger.	"Ye lie!" said mrs McCaskey, without anger.	true	556.85	559.51	17.930582
6895_92806_000038_000001	"Me brother was worth tin dozen bog-trotting McCaskeys.	"Me brother was worth tin dozen bog trotting McCaskeys.	true	559.55	562.78	17
6895_92806_000038_000002	After him would the bye be named." She leaned over the window-sill and looked down at the hurrying and bustle below.	After him would the bye be named." She leaned over the window sill and looked down at the hurrying and bustle below.	true	562.85	570.04	18
6895_92806_000039_000000	"Jawn," said Mrs. McCaskey, softly, "I'm sorry I was hasty wid ye."	"Jawn," said mrs McCaskey, softly, "I'm sorry I was hasty wid ye."	false	570.17	574.62	18.94197
6895_92806_000040_000000	"'Twas hasty puddin', as ye say," said her husband, "and hurry-up turnips and get-a-move-on-ye coffee.	"'twas hasty puddin', as ye say," said her husband, "and hurry up turnips and get a move on ye coffee.	false	574.62	580.51	21.325003
6895_92806_000040_000001	'Twas what ye could call a quick lunch, all right, and tell no lie."	'twas what ye could call a quick lunch, all right, and tell no lie."	false	580.58	584.5	21.934004
6895_92806_000041_000000	Mrs. McCaskey slipped her arm inside her husband's and took his rough hand in hers.	mrs McCaskey slipped her arm inside her husband's and took his rough hand in hers.	true	584.75	589.6	14
6895_92806_000042_000000	"Listen at the cryin' of poor Mrs. Murphy," she said.	"Listen at the cryin' of poor mrs Murphy," she said.	true	589.94	592.71	17
6895_92806_000042_000001	"'Tis an awful thing for a bit of a bye to be lost in this great big city.	"'tis an awful thing for a bit of a bye to be lost in this great big city.	false	592.71	596.34	18
6895_92806_000042_000002	If 'twas our little Phelan, Jawn, I'd be breakin' me heart."	If 'twas our little Phelan, Jawn, I'd be breakin' me heart."	false	596.34	599.8	19.764275
6895_92806_000043_000000	Awkwardly Mr. McCaskey withdrew his hand.	Awkwardly mr McCaskey withdrew his hand.	true	600.11	602.745	19
6895_92806_000043_000001	But he laid it around the nearing shoulder of his wife.	But he laid it around the nearing shoulder of his wife.	true	602.745	606.31	21.39322
6895_92806_000044_000000	"'Tis foolishness, of course," said he, roughly, "but I'd be cut up some meself if our little Pat was kidnapped or anything.	"'tis foolishness, of course," said he, roughly, "but I'd be cut up some meself if our little Pat was kidnapped or anything.	true	606.32	613	17
6895_92806_000044_000001	But there never was any childer for us.	But there never was any childer for us.	false	613.22	615.85	19
6895_92806_000044_000002	Sometimes I've been ugly and hard with ye, Judy.	Sometimes I've been ugly and hard with ye, Judy.	false	615.89	618.48	11
6895_92806_000044_000003	Forget it."	Forget it."	true	618.48	619.3	26.03599
6895_92806_000045_000000	They leaned together, and looked down at the heart-drama being acted below.	They leaned together, and looked down at the heart drama being acted below.	true	619.58	624.22	19
6895_92806_000046_000000	Long they sat thus.	Long they sat thus.	true	624.41	626.055	20.197742
6895_92806_000046_000001	People surged along the sidewalk, crowding, questioning, filling the air with rumours, and inconsequent surmises. Mrs. Murphy ploughed back and forth in their midst, like a soft mountain down which plunged an audible cataract of tears.	People surged along the sidewalk, crowding, questioning, filling the air with rumours, and inconsequent surmises. mrs Murphy ploughed back and forth in their midst, like a soft mountain down which plunged an audible cataract of tears.	true	626.055	640.45	17
6895_92806_000046_000002	Couriers came and went.	Couriers came and went.	true	640.61	642.37	20.359598
6895_92806_000047_000000	Loud voices and a renewed uproar were raised in front of the boarding-house.	Loud voices and a renewed uproar were raised in front of the boarding house.	true	642.53	646.66	17
6895_92806_000048_000000	"What's up now, Judy?" asked Mr. McCaskey.	"What's up now, Judy?" asked mr McCaskey.	true	646.73	649.48	18
6895_92806_000049_000000	"'Tis Missis Murphy's voice," said Mrs. McCaskey, harking.	"'tis Missis Murphy's voice," said mrs McCaskey, harking.	true	649.73	652.9	11
6895_92806_000049_000001	"She says she's after finding little Mike asleep behind the roll of old linoleum under the bed in her room."	"She says she's after finding little Mike asleep behind the roll of old linoleum under the bed in her room."	true	652.97	658.93	15
6895_92806_000050_000000	Mr. McCaskey laughed loudly.	mr McCaskey laughed loudly.	true	659.09	661.15	19
6895_92806_000051_000000	"That's yer Phelan," he shouted, sardonically.	"That's yer Phelan," he shouted, sardonically.	true	661.22	663.75	18
6895_92806_000051_000001	"Divil a bit would a Pat have done that trick.	"Divil a bit would a Pat have done that trick.	false	663.75	666.81	22.618267
6895_92806_000051_000002	If the bye we never had is strayed and stole, by the powers, call him Phelan, and see him hide out under the bed like a mangy pup."	If the bye we never had is strayed and stole, by the powers, call him Phelan, and see him hide out under the bed like a mangy pup."	false	666.81	674.83	16
6895_92806_000052_000000	Mrs. McCaskey arose heavily, and went toward the dish closet, with the corners of her mouth drawn down.	mrs McCaskey arose heavily, and went toward the dish closet, with the corners of her mouth drawn down.	true	675.56	681.46	17
6895_92806_000053_000000	Policeman Cleary came back around the corner as the crowd dispersed. Surprised, he upturned an ear toward the McCaskey apartment, where the crash of irons and chinaware and the ring of hurled kitchen utensils seemed as loud as before.	Policeman Cleary came back around the corner as the crowd dispersed. Surprised, he upturned an ear toward the McCaskey apartment, where the crash of irons and chinaware and the ring of hurled kitchen utensils seemed as loud as before.	true	681.53	694.78	18
6895_92806_000053_000001	Policeman Cleary took out his timepiece.	Policeman Cleary took out his timepiece.	true	694.88	697.36	19
6895_92806_000054_000000	"By the deported snakes!" he exclaimed, "Jawn McCaskey and his lady have been fightin' for an hour and a quarter by the watch.	"By the deported snakes!" he exclaimed, "Jawn McCaskey and his lady have been fightin' for an hour and a quarter by the watch.	true	697.52	703.86	22.407984
6895_92806_000054_000001	The missis could give him forty pounds weight.	The missis could give him forty pounds weight.	true	703.86	706.035	18
6895_92806_000054_000002	Strength to his arm."	Strength to his arm."	true	706.035	707.38	18
6895_92806_000055_000000	Policeman Cleary strolled back around the corner.	Policeman Cleary strolled back around the corner.	true	707.48	710.23	18
6895_92806_000056_000000	Old man Denny folded his paper and hurried up the steps just as Mrs. Murphy was about to lock the door for the night.	Old man Denny folded his paper and hurried up the steps just as mrs Murphy was about to lock the door for the night.	true	710.24	716.46	16
6895_92806_000057_000000	THE SKYLIGHT ROOM	THE SKYLIGHT ROOM	false	716.46	716.61	-20
6895_92806_000058_000000	First Mrs. Parker would show you the double parlours.	First mrs Parker would show you the double parlours.	false	716.61	717.06	-20
6895_92806_000058_000001	You would not dare to interrupt her description of their advantages and of the merits of the gentleman who had occupied them for eight years.	You would not dare to interrupt her description of their advantages and of the merits of the gentleman who had occupied them for eight years.	false	717.06	717.66	23.001707
6895_92806_000058_000002	Then you would manage to stammer forth the confession that you were neither a doctor nor a dentist.	Then you would manage to stammer forth the confession that you were neither a doctor nor a dentist.	false	717.66	718.65	18
6895_92806_000058_000003	Mrs. Parker's manner of receiving the admission was such that you could never afterward entertain the same feeling toward your parents, who had neglected to train you up in one of the professions that fitted Mrs. Parker's parlours.	mrs Parker's manner of receiving the admission was such that you could never afterward entertain the same feeling toward your parents, who had neglected to train you up in one of the professions that fitted mrs Parker's parlours.	false	718.65	726.06	-20
