5672_88363_000000_000000	CHAPTER XV	CHAPTER fifteen	false	1.11	23.265	19.68538
5672_88363_000009_000013	The local machines thus backed are incurable mugwumps, hold the balance of power, work in both parties, and have voted dry the agricultural territory of the United States everywhere, by the township, county, or state unit.	The local machines thus backed are incurable mugwumps, hold the balance of power, work in both parties, and have voted dry the agricultural territory of the United States everywhere, by the township, county, or state unit.	true	343.49	357.49	19
5672_88363_000010_000000	The only institutions that touch the same territory in a similar way are the Chautauquas in the prosperous agricultural centres.	The only institutions that touch the same territory in a similar way are the Chautauquas in the prosperous agricultural centres.	true	357.89	365.86	17
5672_88363_000010_000001	These, too, by the same sign are emphatically anti-saloon in their propaganda, serving to intellectualize and secularize the dry sentiment without taking it out of the agricultural caste.	These, too, by the same sign are emphatically anti saloon in their propaganda, serving to intellectualize and secularize the dry sentiment without taking it out of the agricultural caste.	true	366.08	377.2	18
5672_88363_000011_000000	There is a definite line between our farm-civilization and the rest.	There is a definite line between our farm civilization and the rest.	true	377.78	381.97	18.962412
5672_88363_000011_000001	When a county goes dry, it is generally in spite of the county-seat.	When a county goes dry, it is generally in spite of the county seat.	true	382.01	385.92	20.71725
5672_88363_000011_000002	Such temperance people as are in the court-house town represent the church-vote, which is even then in goodly proportion a retired-farmer vote.	Such temperance people as are in the court house town represent the church vote, which is even then in goodly proportion a retired farmer vote.	true	385.92	393.82	19
5672_88363_000011_000003	The larger the county-seat, the larger the non-church-going population and the more stubborn the fight.	The larger the county seat, the larger the non church going population and the more stubborn the fight.	true	394.16	399.55	20.276913
5672_88363_000011_000004	The majority of miners and factory workers are on the wet side everywhere.	The majority of miners and factory workers are on the wet side everywhere.	true	399.8	404.02	19
5672_88363_000011_000005	The irritation caused by the gases in the mines, by the dirty work in the blackness, by the squalor in which the company houses are built, turns men to drink for reaction and lamplight and comradeship.	The irritation caused by the gases in the mines, by the dirty work in the blackness, by the squalor in which the company houses are built, turns men to drink for reaction and lamplight and comradeship.	true	404.18	415.63	19
5672_88363_000011_000006	The similar fevers and exasperations of factory life lead the workers to unstring their tense nerves with liquor.	The similar fevers and exasperations of factory life lead the workers to unstring their tense nerves with liquor.	true	415.73	422.145	15
5672_88363_000011_000007	The habit of snuggling up close in factories, conversing often, bench by bench, machine by machine, inclines them to get together for their pleasures at the bar.	The habit of snuggling up close in factories, conversing often, bench by bench, machine by machine, inclines them to get together for their pleasures at the bar.	false	422.145	430.9	15
5672_88363_000011_000008	In industrial America there is an anti-saloon minority in moral sympathy with the temperance wave brought in by the farmers.	In industrial America there is an anti saloon minority in moral sympathy with the temperance wave brought in by the farmers.	true	431.03	438.19	17
5672_88363_000011_000009	But they are outstanding groups.	But they are outstanding groups.	true	438.2	440.29	23.564896
5672_88363_000011_000010	Their leadership seldom dries up a factory town or a mining region, with all the help the Anti-Saloon League can give.	Their leadership seldom dries up a factory town or a mining region, with all the help the Anti Saloon League can give.	true	440.39	447.04	21.756142
5672_88363_000012_000000	In the big cities the temperance movement is scarcely understood.	In the big cities the temperance movement is scarcely understood.	true	447.05	450.46	18.203075
5672_88363_000012_000001	The choice residential districts are voted dry for real estate reasons.	The choice residential districts are voted dry for real estate reasons.	true	450.53	454.42	18.806076
5672_88363_000012_000002	The men who do this, drink freely at their own clubs or parties.	The men who do this, drink freely at their own clubs or parties.	true	454.58	458.02	20.064203
5672_88363_000012_000003	The temperance question would be fruitlessly argued to the end of time were it not for the massive agricultural vote rolling and roaring round each metropolis, reawakening the town churches whose vote is a pitiful minority but whose spokesmen are occasionally strident.	The temperance question would be fruitlessly argued to the end of time were it not for the massive agricultural vote rolling and roaring round each metropolis, reawakening the town churches whose vote is a pitiful minority but whose spokesmen are occasionally strident.	true	458.12	472.87	14
5672_88363_000013_000000	There is a prophecy abroad that prohibition will be the issue of a national election.	There is a prophecy abroad that prohibition will be the issue of a national election.	true	473.18	477.73	18
5672_88363_000013_000001	If the question is squarely put, there are enough farmers and church-people to drive the saloon out of legal existence.	If the question is squarely put, there are enough farmers and church people to drive the saloon out of legal existence.	true	478.07	484.3	19
5672_88363_000013_000002	The women's vote, a little more puritanical than the men's vote, will make the result sure.	The women's vote, a little more puritanical than the men's vote, will make the result sure.	true	484.79	490.03	23.799427
5672_88363_000013_000003	As one anxious for this victory, I have often speculated on the situation when all America is nominally dry, at the behest of the American farmer, the American preacher, and the American woman.	As one anxious for this victory, I have often speculated on the situation when all America is nominally dry, at the behest of the American farmer, the American preacher, and the American woman.	true	490.31	500.92	15
5672_88363_000013_000004	When the use of alcohol is treason, what will become of those all but unbroken lines of slum saloons?	When the use of alcohol is treason, what will become of those all but unbroken lines of slum saloons?	true	501.08	507.31	19.947474
5672_88363_000013_000005	No lesser force than regular troops could dislodge them, with yesterday's intrenchment.	No lesser force than regular troops could dislodge them, with yesterday's intrenchment.	true	507.44	512.34	18.645128
5672_88363_000014_000000	The entrance of the motion picture house into the arena is indeed striking, the first enemy of King Alcohol with real power where that king has deepest hold.	The entrance of the motion picture house into the arena is indeed striking, the first enemy of King Alcohol with real power where that king has deepest hold.	true	512.34	521.68	19
5672_88363_000014_000001	If every one of those saloon doors is nailed up by the Chautauqua orators, the photoplay archway will remain open.	If every one of those saloon doors is nailed up by the Chautauqua orators, the photoplay archway will remain open.	false	521.75	529	18
5672_88363_000014_000002	The people will have a shelter where they can readjust themselves, that offers a substitute for many of the lines of pleasure in the groggery.	The people will have a shelter where they can readjust themselves, that offers a substitute for many of the lines of pleasure in the groggery.	true	529.31	535.99	16
5672_88363_000014_000003	And a whole evening costs but a dime apiece.	And a whole evening costs but a dime apiece.	true	536.45	538.93	20.546385
5672_88363_000014_000004	Several rounds of drinks are expensive, but the people can sit through as many repetitions of this programme as they desire, for one entrance fee.	Several rounds of drinks are expensive, but the people can sit through as many repetitions of this programme as they desire, for one entrance fee.	true	539.42	547.18	19
5672_88363_000014_000005	The dominant genius of the moving picture place is not a gentleman with a red nose and an eye like a dead fish, but some producer who, with all his faults, has given every person in the audience a seven-leagued angel-and-demon telescope.	The dominant genius of the moving picture place is not a gentleman with a red nose and an eye like a dead fish, but some producer who, with all his faults, has given every person in the audience a seven leagued angel and demon telescope.	true	547.61	560.86	18
5672_88363_000015_000000	Since I have announced myself a farmer and a puritan, let me here list the saloon evils not yet recorded in this chapter.	Since I have announced myself a farmer and a puritan, let me here list the saloon evils not yet recorded in this chapter.	true	561.02	568.06	20.374271
5672_88363_000015_000001	They are separate from the catalogue of the individualistic woes of the drunkard that are given in the Scripture.	They are separate from the catalogue of the individualistic woes of the drunkard that are given in the Scripture.	true	568.37	573.91	18.082134
5672_88363_000015_000002	The shame of the American drinking place is the bar-tender who dominates its thinking.	The shame of the American drinking place is the bar tender who dominates its thinking.	true	574.22	578.68	21
5672_88363_000015_000003	His cynical and hardened soul wipes out a portion of the influence of the public school, the library, the self-respecting newspaper.	His cynical and hardened soul wipes out a portion of the influence of the public school, the library, the self respecting newspaper.	true	578.9	586.03	18
5672_88363_000015_000004	A stream rises no higher than its source, and through his dead-fish eye and dead-fish brain the group of tired men look upon all the statesmen and wise ones of the land.	A stream rises no higher than its source, and through his dead fish eye and dead fish brain the group of tired men look upon all the statesmen and wise ones of the land.	true	586.52	596.23	17
5672_88363_000015_000005	Though he says worse than nothing, his furry tongue, by endless reiteration, is the American slum oracle.	Though he says worse than nothing, his furry tongue, by endless reiteration, is the American slum oracle.	true	596.57	602.67	18
5672_88363_000015_000006	At the present the bar-tender handles the neighborhood group, the ultimate unit in city politics.	At the present the bar tender handles the neighborhood group, the ultimate unit in city politics.	false	602.67	607.84	22
5672_88363_000016_000000	So, good citizen, welcome the coming of the moving picture man as a local social force.	So, good citizen, welcome the coming of the moving picture man as a local social force.	true	608.27	613.33	17
5672_88363_000016_000001	Whatever his private character, the mere formula of his activities makes him a better type.	Whatever his private character, the mere formula of his activities makes him a better type.	false	613.88	618.88	20
5672_88363_000016_000002	He may not at first sway his group in a directly political way, but he will make himself the centre of more social ideals than the bar-tender ever entertained.	He may not at first sway his group in a directly political way, but he will make himself the centre of more social ideals than the bar tender ever entertained.	true	618.89	627.67	18
5672_88363_000016_000003	And he is beginning to have as intimate a relation to his public as the bar-tender.	And he is beginning to have as intimate a relation to his public as the bar tender.	true	627.74	632.23	19
5672_88363_000016_000004	In many cases he stands under his arch in the sheltered lobby and is on conversing terms with his habitual customers, the length of the afternoon and evening.	In many cases he stands under his arch in the sheltered lobby and is on conversing terms with his habitual customers, the length of the afternoon and evening.	true	632.39	641.89	18.519608
5672_88363_000017_000000	Voting the saloon out of the slums by voting America dry, does not, as of old, promise to be a successful operation that kills the patient.	Voting the saloon out of the slums by voting America dry, does not, as of old, promise to be a successful operation that kills the patient.	true	641.96	649.75	16
5672_88363_000017_000001	In the past some of the photoplay magazines have contained denunciations of the temperance people for refusing to say anything in behalf of the greatest practical enemy of the saloon.	In the past some of the photoplay magazines have contained denunciations of the temperance people for refusing to say anything in behalf of the greatest practical enemy of the saloon.	true	650.09	659.26	15
5672_88363_000017_000002	But it is not too late for the dry forces to repent.	But it is not too late for the dry forces to repent.	true	659.51	662.61	20.29435
5672_88363_000017_000003	The Anti-Saloon League officers and the photoplay men should ask each other to dinner.	The Anti Saloon League officers and the photoplay men should ask each other to dinner.	true	662.61	667.15	17
5672_88363_000017_000004	More moving picture theatres in doubtful territory will help make dry voters.	More moving picture theatres in doubtful territory will help make dry voters.	true	667.31	671.77	17
5672_88363_000017_000005	And wet territory voted dry will bring about a greatly accelerated patronage of the photoplay houses. There is every strategic reason why these two forces should patch up a truce.	And wet territory voted dry will bring about a greatly accelerated patronage of the photoplay houses. There is every strategic reason why these two forces should patch up a truce.	true	671.78	681.88	20
5672_88363_000018_000000	Meanwhile, the cave-man, reader of picture-writing, is given a chance to admit light into his mind, whatever he puts to his lips.	Meanwhile, the cave man, reader of picture writing, is given a chance to admit light into his mind, whatever he puts to his lips.	true	682.64	690.195	17
5672_88363_000018_000001	Let us look for the day, be it a puritan triumph or not, when the sons and the daughters of the slums shall prophesy, the young men shall see visions, the old men dream dreams.	Let us look for the day, be it a puritan triumph or not, when the sons and the daughters of the slums shall prophesy, the young men shall see visions, the old men dream dreams.	false	690.195	700.92	19.828812
5672_88363_000019_000000	CHAPTER XVI	CHAPTER sixteen	false	700.92	701.16	-20
5672_88363_000020_000000	CALIFORNIA AND AMERICA	CALIFORNIA AND AMERICA	false	701.16	701.55	-3
5672_88363_000021_000000	The moving picture captains of industry, like the California gold finders of 1849, making colossal fortunes in two or three years, have the same glorious irresponsibility and occasional need of the sheriff.	The moving picture captains of industry, like the California gold finders of eighteen forty nine, making colossal fortunes in two or three years, have the same glorious irresponsibility and occasional need of the sheriff.	false	701.55	702.96	17.531134
5672_88363_000021_000001	They are Californians more literally than this.	They are Californians more literally than this.	false	702.96	703.08	9
5672_88363_000021_000002	Around Los Angeles the greatest and most characteristic moving picture colonies are being built.	Around Los Angeles the greatest and most characteristic moving picture colonies are being built.	false	703.08	703.32	14
5672_88363_000021_000003	Each photoplay magazine has its California letter, telling of the putting-up of new studios, and the transfer of actors, with much slap-you-on-the-back personal gossip.	Each photoplay magazine has its California letter, telling of the putting up of new studios, and the transfer of actors, with much slap you on the back personal gossip.	false	703.32	703.83	18.970955
5672_88363_000021_000004	This is the outgrowth of the fact that every type of the photoplay but the intimate is founded on some phase of the out-of-doors.	This is the outgrowth of the fact that every type of the photoplay but the intimate is founded on some phase of the out of doors.	false	703.83	704.28	6
5672_88363_000021_000005	Being thus dependent, the plant can best be set up where there is no winter.	Being thus dependent, the plant can best be set up where there is no winter.	false	704.28	704.55	-20
5672_88363_000021_000006	Besides this, the Los Angeles region has the sea, the mountains, the desert, and many kinds of grove and field. Landscape and architecture are sub-tropical.	Besides this, the Los Angeles region has the sea, the mountains, the desert, and many kinds of grove and field. Landscape and architecture are sub tropical.	false	704.55	705.03	-20
5672_88363_000021_000007	But for a description of California, ask any traveller or study the background of almost any photoplay.	But for a description of California, ask any traveller or study the background of almost any photoplay.	false	705.03	705.33	-20
